Repositorio,Criado Em,Estrelas,Pull Requests Aceitas
ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,189268,3653
microsoft/vscode,2015-09-03T20:23:38Z,188932,52150
massgravel/Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,187572,7
Significant-Gravitas/AutoGPT,2023-03-16T09:21:07Z,186687,4773
yt-dlp/yt-dlp,2020-10-26T04:22:55Z,185592,3405
CyC2018/CS-Notes,2018-02-13T14:56:24Z,185496,374
jackfrued/Python-100-Days,2018-03-01T16:05:52Z,185379,13
getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,184712,370
avelino/awesome-go,2014-07-06T13:42:15Z,181541,3880
ollama/ollama,2023-06-26T19:39:32Z,178966,3528
flutter/flutter,2015-03-06T22:54:58Z,178496,49659
github/gitignore,2010-11-08T20:17:14Z,175376,1779
microsoft/markitdown,2024-11-13T19:56:40Z,174666,183
twbs/bootstrap,2011-07-29T21:19:00Z,174614,9481
521xueweihan/HelloGitHub,2016-05-04T06:24:11Z,171772,17
anthropics/skills,2025-09-22T15:53:31Z,170441,50
firecrawl/firecrawl,2024-04-15T21:02:29Z,169517,1936
f/prompts.chat,2022-12-05T13:54:13Z,167565,236
deepseek-ai/deepseek-harness,2026-08-13T11:56:32Z,166170,0
AUTOMATIC1111/stable-diffusion-webui,2022-08-22T14:05:26Z,164583,1875
huggingface/transformers,2018-10-29T13:56:00Z,164259,20219
jlevy/the-art-of-command-line,2015-05-20T15:11:03Z,162126,317
Snailclimb/JavaGuide,2018-05-07T13:27:00Z,157888,1270
langflow-ai/langflow,2023-02-08T22:28:03Z,153472,7306
langgenius/dify,2023-04-12T07:40:24Z,152912,13431
open-webui/open-webui,2023-10-06T22:08:27Z,149247,4058
airbnb/javascript,2012-11-01T23:13:50Z,148131,822
Genymobile/scrcpy,2017-11-21T18:00:27Z,147918,153
msitarzewski/agency-agents,2025-10-13T12:12:29Z,146260,222
langchain-ai/langchain,2022-10-17T02:58:36Z,144571,17274
x1xhlol/system-prompts-and-models-of-ai-tools,2025-03-05T16:38:29Z,142929,52
yangshun/tech-interview-handbook,2016-07-05T05:00:48Z,142002,494
anthropics/claude-code,2025-02-22T17:41:21Z,141996,162
vercel/next.js,2016-10-05T23:32:51Z,141868,28230
ytdl-org/youtube-dl,2010-10-31T14:35:07Z,140975,1646
clash-verge-rev/clash-verge-rev,2023-11-21T18:24:03Z,138847,1015
microsoft/PowerToys,2019-05-01T17:44:02Z,137883,7013
iptv-org/iptv,2018-11-14T22:00:57Z,136185,6997
golang/go,2014-08-19T04:33:40Z,135906,1
labuladong/fucking-algorithm,2020-02-19T09:01:23Z,135384,244
Shubhamsaboo/awesome-llm-apps,2024-04-29T05:30:25Z,133227,242
ripienaar/free-for-dev,2015-03-18T21:06:26Z,132201,3080
github/spec-kit,2025-08-21T22:54:31Z,130288,1398
excalidraw/excalidraw,2020-01-02T01:04:43Z,130021,3961
krahets/hello-algo,2022-11-04T11:08:34Z,129482,996
Chalarangelo/30-seconds-of-code,2017-11-29T17:35:03Z,128743,856
garrytan/gstack,2026-03-11T21:22:45Z,128707,307
Comfy-Org/ComfyUI,2023-01-17T03:15:56Z,128438,3161
farion1231/cc-switch,2025-08-04T14:16:16Z,128278,458
react/react-native,2015-01-09T18:10:16Z,126366,999
ggml-org/llama.cpp,2023-03-10T18:58:00Z,124693,9760
kubernetes/kubernetes,2014-06-06T22:56:04Z,124601,65651
electron/electron,2013-04-12T01:47:36Z,122578,26679
shadcn-ui/ui,2023-01-04T12:43:27Z,121648,1439
rustdesk/rustdesk,2020-09-28T15:36:08Z,121252,4211
nodejs/node,2014-11-26T19:57:11Z,119018,13220
Hack-with-Github/Awesome-Hacking,2016-03-30T15:47:10Z,118625,41
justjavac/free-programming-books-zh_CN,2013-11-04T01:59:19Z,118400,300
nextlevelbuilder/ui-ux-pro-max-skill,2025-11-30T11:36:31Z,118178,139
microsoft/generative-ai-for-beginners,2023-06-19T16:28:59Z,118097,601
godotengine/godot,2014-01-04T16:05:36Z,115873,43375
rust-lang/rust,2010-06-16T20:39:03Z,115610,73601
mrdoob/three.js,2010-03-23T18:58:01Z,114613,16002
2dust/v2rayN,2019-07-30T03:47:24Z,114221,606
d3/d3,2010-09-27T17:22:42Z,113496,495
immich-app/immich,2022-02-03T15:56:27Z,111702,10030
jaywcjlove/awesome-mac,2016-07-17T15:33:47Z,111430,1245
tauri-apps/tauri,2019-07-13T09:09:37Z,110363,5674
microsoft/TypeScript,2014-06-17T15:28:39Z,110208,14893
harry0703/MoneyPrinterTurbo,2024-03-11T02:57:34Z,110123,203
