Repositorio,Criado Em,Estrelas,Linguagens,Frequencia issues
binhnguyennus/awesome-scalability,2017-12-27T03:46:40Z,73388,Sem linguagem,Sem issues
CompVis/stable-diffusion,2022-08-10T14:36:44Z,73307,"Jupyter Notebook, Python, Shell",1 issues/mês
Panniantong/Agent-Reach,2026-02-24T02:10:24Z,73010,"Python, Shell, HTML",75 issues/mês
strapi/strapi,2015-09-30T15:34:48Z,72965,"TypeScript, JavaScript, Handlebars, Shell, MDX",300 issues/mês
danielmiessler/SecLists,2012-02-19T01:30:18Z,72935,"PHP, Python, Classic ASP, Shell, Perl",2 issues/mês
fffaraz/awesome-cpp,2014-07-17T08:51:11Z,72831,Sem linguagem,1 issues/mês
ComposioHQ/awesome-claude-skills,2025-10-17T07:15:01Z,72795,"Python, JavaScript, Shell",23 issues/mês
microsoft/ai-agents-for-beginners,2024-11-28T10:42:52Z,72698,"Jupyter Notebook, Python, C#, PowerShell, Dockerfile",5 issues/mês
NationalSecurityAgency/ghidra,2019-03-01T03:27:48Z,72522,"Java, C++, HTML, C, Python",50 issues/mês
juliangarnier/anime,2016-03-13T21:37:45Z,72248,"JavaScript, HTML, CSS",3 issues/mês
hakimel/reveal.js,2011-06-07T18:54:22Z,72152,"JavaScript, HTML, TypeScript, SCSS, CSS",2 issues/mês
pallets/flask,2010-04-06T11:11:59Z,72136,"Python, HTML, Shell, CSS",7 issues/mês
chrislgarry/Apollo-11,2014-04-03T15:45:02Z,72116,Assembly,Sem issues
OpenBB-finance/OpenBB,2020-12-20T10:46:38Z,72041,Python,15 issues/mês
moby/moby,2013-01-18T18:10:57Z,71984,"Go, Shell, Dockerfile, PowerShell, Lua",60 issues/mês
daytonaio/daytona,2024-02-06T08:21:20Z,71963,Sem linguagem,8 issues/mês
protocolbuffers/protobuf,2014-08-26T15:52:15Z,71737,"C++, C#, C, Java, Objective-C",15 issues/mês
toeverything/AFFiNE,2022-07-31T18:45:21Z,71673,"TypeScript, Rust, Swift, Kotlin, JavaScript",150 issues/mês
nektos/act,2019-01-02T19:53:43Z,71554,"Go, JavaScript, Shell, Makefile",3 issues/mês
Asabeneh/30-Days-Of-Python,2019-11-19T17:24:16Z,71382,"Python, CSS, HTML, Procfile",6 issues/mês
binary-husky/gpt_academic,2023-03-20T09:05:13Z,71210,"Python, JavaScript, HTML, CSS, Dockerfile",3 issues/mês
666ghj/MiroFish,2025-11-26T04:23:02Z,71201,"Python, Vue, JavaScript, HTML, Dockerfile",30 issues/mês
prakhar1989/awesome-courses,2014-11-15T18:36:49Z,70522,Sem linguagem,0 issues/mês
ansible/ansible,2012-03-06T14:58:02Z,70357,"Python, PowerShell, Shell, C#, Jinja",42 issues/mês
swiftlang/swift,2015-10-23T21:15:07Z,70258,"Swift, C++, C, Python, CMake",300 issues/mês
FoundationAgents/MetaGPT,2023-06-30T09:04:55Z,69899,"Python, JavaScript, TypeScript, Shell, Dockerfile",9 issues/mês
expressjs/express,2009-06-26T18:56:01Z,69382,JavaScript,6 issues/mês
base/node,2023-02-01T13:55:02Z,68430,"Shell, Dockerfile",12 issues/mês
ruvnet/ruflo,2025-06-02T21:24:20Z,68310,"TypeScript, JavaScript, Shell, Svelte, Rust",150 issues/mês
code-yeongyu/oh-my-openagent,2025-12-03T01:40:05Z,68097,"TypeScript, JavaScript, HTML, Shell, Python",300 issues/mês
openinterpreter/openinterpreter,2023-07-14T07:10:44Z,68071,"Rust, Python, Starlark, TypeScript, Shell",10 issues/mês
chartjs/Chart.js,2013-03-17T23:56:36Z,67642,"JavaScript, TypeScript, Shell, HTML",3 issues/mês
BurntSushi/ripgrep,2016-03-11T02:02:33Z,67405,"Rust, Python, Shell, Roff, Ruby",10 issues/mês
labmlai/annotated_deep_learning_paper_implementations,2020-08-25T02:29:34Z,67314,"Python, Jupyter Notebook, Makefile",0 issues/mês
apache/echarts,2013-04-03T03:18:59Z,67095,"TypeScript, JavaScript, Go Template, HTML, Shell",12 issues/mês
gorhill/uBlock,2015-04-01T17:51:11Z,67087,"JavaScript, CSS, HTML, WebAssembly, Shell",0 issues/mês
colbymchenry/codegraph,2026-01-18T21:45:37Z,67074,"C, TypeScript, Rust, JavaScript, Shell",150 issues/mês
scikit-learn/scikit-learn,2010-08-17T09:43:38Z,66971,"Python, Cython, C++, Shell, C",42 issues/mês
headroomlabs-ai/headroom,2026-01-07T19:58:51Z,66870,"Python, Rust, JavaScript, TypeScript, HTML",300 issues/mês
bradtraversy/design-resources-for-developers,2020-05-06T14:40:35Z,66697,Sem linguagem,Sem issues
xtekky/gpt4free,2023-03-29T17:00:43Z,66564,"Python, Go, Shell, HTML, Dockerfile",11 issues/mês
sindresorhus/awesome-nodejs,2014-07-11T13:35:34Z,66560,Sem linguagem,0 issues/mês
leonardomso/33-js-concepts,2018-09-04T13:27:04Z,66510,JavaScript,1 issues/mês
cline/cline,2024-07-06T07:28:10Z,66477,"TypeScript, JavaScript, CSS, Rust, HTML",Múltiplas issues no mesmo dia
TheAlgorithms/Java,2016-07-16T10:21:02Z,66169,"Java, Dockerfile",20 issues/mês
facebook/docusaurus,2017-06-20T16:13:53Z,65998,"TypeScript, JavaScript, CSS, XSLT, AppleScript",8 issues/mês
webpack/webpack,2012-03-10T10:08:14Z,65969,"JavaScript, CSS, HTML, WebAssembly, TypeScript",21 issues/mês
prometheus/prometheus,2012-11-24T11:14:12Z,65751,"Go, TypeScript, Yacc, Shell, SCSS",37 issues/mês
LadybirdBrowser/ladybird,2024-05-30T09:18:10Z,65740,"C++, HTML, Rust, JavaScript, Python",300 issues/mês
dani-garcia/vaultwarden,2018-02-17T22:40:20Z,65653,"Rust, Handlebars, TypeScript, Shell, Jinja",23 issues/mês
kelseyhightower/nocode,2018-02-06T23:54:00Z,65645,Dockerfile,5 issues/mês
microsoft/AI-For-Beginners,2021-03-03T16:27:36Z,65630,"Jupyter Notebook, Python, HTML, Vue, JavaScript",30 issues/mês
santifer/career-ops,2026-04-04T18:21:18Z,65542,"JavaScript, TypeScript, Go, HTML, Shell",300 issues/mês
Fission-AI/OpenSpec,2025-08-05T10:37:45Z,65494,"TypeScript, JavaScript, Shell, Nix, CSS",100 issues/mês
alacritty/alacritty,2016-02-18T05:02:30Z,65424,"Rust, Shell, GLSL, Makefile",20 issues/mês
lydiahallie/javascript-questions,2019-06-12T08:26:27Z,65317,Sem linguagem,0 issues/mês
kdn251/interviews,2017-02-14T18:19:25Z,65218,Java,0 issues/mês
docling-project/docling,2024-07-09T07:50:26Z,65192,"Python, Shell, Dockerfile, Makefile",150 issues/mês
localstack/localstack,2016-10-25T23:48:03Z,65146,"Python, Makefile, Shell, ANTLR, JavaScript",30 issues/mês
Mintplex-Labs/anything-llm,2023-06-04T02:29:14Z,64914,"JavaScript, TypeScript, CSS, HTML, Shell",150 issues/mês
shanraisshan/claude-code-best-practice,2025-10-31T14:15:28Z,64712,"HTML, Python",3 issues/mês
gsd-build/get-shit-done,2025-12-14T14:17:12Z,64671,"JavaScript, TypeScript, Shell",21 issues/mês
nocodb/nocodb,2017-10-29T18:51:48Z,64593,"TypeScript, Vue, JavaScript, PLpgSQL, SCSS",30 issues/mês
traefik/traefik,2015-09-13T19:04:02Z,64497,"Go, TypeScript, JavaScript, Shell, Makefile",42 issues/mês
warpdotdev/warp,2021-07-08T18:48:08Z,64349,"Rust, Shell, Python, Objective-C, PowerShell",300 issues/mês
ryanoasis/nerd-fonts,2014-12-05T04:31:17Z,64303,"CSS, Shell, Python, PowerShell, Dockerfile",18 issues/mês
keras-team/keras,2015-03-28T00:35:42Z,64240,"Python, Shell",50 issues/mês
tw93/Mole,2025-09-23T06:38:40Z,64215,"Shell, Go, Python, Makefile",50 issues/mês
scrapy/scrapy,2010-02-22T02:01:14Z,63962,"Python, Go Template, HTML, Roff, Shell",15 issues/mês
rust-lang/rustlings,2015-09-15T02:25:18Z,63905,"Rust, HTML, CSS, Shell, Just",2 issues/mês
mem0ai/mem0,2023-06-20T08:58:36Z,63602,"Python, TypeScript, Shell, JavaScript, CSS",150 issues/mês
commaai/openpilot,2016-11-24T01:33:30Z,63451,"Python, C++, Cap'n Proto, C, Shell",37 issues/mês
FFmpeg/FFmpeg,2011-04-14T14:12:38Z,63448,"C, Assembly, Makefile, GLSL, C++",Sem issues
tldr-pages/tldr,2013-12-08T07:34:43Z,63424,"Markdown, Python, Shell, JavaScript, CSS",15 issues/mês
ZhuLinsen/daily_stock_analysis,2026-01-10T06:43:20Z,63380,"Python, TypeScript, JavaScript, CSS, Shell",75 issues/mês
socketio/socket.io,2010-03-11T18:24:48Z,63191,"TypeScript, JavaScript, Shell, HTML, CSS",4 issues/mês
asgeirtj/system_prompts_leaks,2025-05-03T02:43:56Z,63179,"JavaScript, Python",20 issues/mês
NanmiCoder/MediaCrawler,2023-06-09T12:14:34Z,63031,"Python, TypeScript",17 issues/mês
virattt/ai-hedge-fund,2024-11-29T16:30:01Z,62960,Python,9 issues/mês
resume/resume.github.com,2011-02-06T13:39:55Z,62884,"JavaScript, HTML, CSS, Ruby",1 issues/mês
jgraph/drawio-desktop,2017-05-25T20:58:42Z,62687,"JavaScript, Shell, HTML",20 issues/mês
git/git,2008-07-23T14:21:26Z,62660,"C, Shell, Perl, Tcl, Python",Sem issues
pathwaycom/pathway,2022-11-27T13:01:14Z,62422,"Python, Rust, HTML, Shell",3 issues/mês
usememos/memos,2021-12-08T15:30:18Z,62358,"Go, TypeScript, Shell, CSS, JavaScript",60 issues/mês
topjohnwu/Magisk,2016-09-08T12:42:53Z,62302,"Kotlin, Rust, C++, Java, Shell",33 issues/mês
youngyangyang04/leetcode-master,2019-12-14T12:05:42Z,62216,Shell,0 issues/mês
karpathy/nanoGPT,2022-12-28T00:51:12Z,62209,Python,1 issues/mês
withastro/astro,2021-03-15T17:19:47Z,61864,"TypeScript, Astro, JavaScript, CSS, Vue",150 issues/mês
PlexPt/awesome-chatgpt-prompts-zh,2022-12-12T01:55:03Z,61682,Sem linguagem,0 issues/mês
sansan0/TrendRadar,2025-04-28T11:42:16Z,61594,"Python, HTML, Batchfile, Shell, Dockerfile",7 issues/mês
reduxjs/redux,2015-05-29T23:53:15Z,61508,"TypeScript, JavaScript, CSS",3 issues/mês
FuelLabs/sway,2021-01-19T20:54:33Z,61498,"Rust, Sway, Shell, LLVM, CSS",10 issues/mês
minio/minio,2015-01-14T19:23:58Z,61387,"Go, Shell, Makefile, Mustache, Go Template",4 issues/mês
2dust/v2rayNG,2019-05-15T02:15:31Z,61318,"Kotlin, HTML, Shell",75 issues/mês
lodash/lodash,2012-04-07T04:11:46Z,61290,"JavaScript, HTML, EJS",2 issues/mês
RVC-Boss/GPT-SoVITS,2024-01-14T18:05:21Z,61051,"Python, Shell, PowerShell, Jupyter Notebook, Dockerfile",10 issues/mês
upstash/context7,2025-03-26T23:40:39Z,60975,"TypeScript, JavaScript, Dockerfile",60 issues/mês
Solido/awesome-flutter,2017-05-07T11:45:27Z,60951,Dart,Sem issues
tw93/Pake,2022-10-14T09:32:57Z,60884,"Rust, Dockerfile, TypeScript",12 issues/mês
h5bp/Front-end-Developer-Interview-Questions,2012-02-09T23:34:10Z,60872,"Nunjucks, CSS, JavaScript",0 issues/mês
1c7/chinese-independent-developer,2017-09-21T11:08:23Z,60858,Python,33 issues/mês
ChrisTitusTech/winutil,2022-04-28T02:25:19Z,60854,"PowerShell, Batchfile",60 issues/mês
xingshaocheng/architect-awesome,2018-04-06T13:30:58Z,60838,Sem linguagem,0 issues/mês
atom/atom,2012-01-20T18:18:21Z,60777,"JavaScript, Less, CoffeeScript, Shell, Batchfile",25 issues/mês
ultralytics/ultralytics,2022-09-11T16:39:45Z,60771,"Python, Shell, HTML, Dockerfile",42 issues/mês
nuxt/nuxt,2016-10-26T11:18:47Z,60763,"TypeScript, Vue, HTML, JavaScript, Dockerfile",42 issues/mês
coollabsio/coolify,2021-01-25T20:54:01Z,60755,"PHP, Blade, Shell, CSS, JavaScript",Múltiplas issues no mesmo dia
pocketbase/pocketbase,2022-07-05T06:06:21Z,60732,"Go, JavaScript, CSS, HTML, Makefile",20 issues/mês
pbakaus/impeccable,2025-11-16T01:52:04Z,60592,"JavaScript, CSS, TypeScript, HTML, Svelte",75 issues/mês
microsoft/autogen,2023-08-18T11:43:45Z,60517,"Python, C#, TypeScript, HTML, JavaScript",13 issues/mês
pi-hole/pi-hole,2014-06-08T15:02:55Z,60471,"Shell, Dockerfile, Roff",4 issues/mês
marktext/marktext,2017-11-12T16:05:25Z,60301,"TypeScript, JavaScript, CSS, Vue, HTML",150 issues/mês
adam-p/markdown-here,2012-05-13T03:27:22Z,60250,"JavaScript, CSS, HTML, Makefile",0 issues/mês
sharkdp/bat,2018-04-21T10:52:23Z,60217,"Rust, Python, Shell, Nix, Batchfile",8 issues/mês
spring-projects/spring-framework,2010-12-08T04:04:45Z,60201,"Java, Kotlin, AspectJ, FreeMarker, Groovy",150 issues/mês
CorentinJ/Real-Time-Voice-Cloning,2019-05-26T08:56:15Z,60090,Python,4 issues/mês
ghostty-org/ghostty,2022-03-29T17:38:26Z,59882,"Zig, Swift, C, C++, Shell",37 issues/mês
jquery/jquery,2009-04-03T15:20:14Z,59776,"JavaScript, HTML, PHP, Shell, CSS",150 issues/mês
byoungd/up,2017-05-30T07:18:52Z,59674,JavaScript,5 issues/mês
shadowsocks/shadowsocks-windows,2013-01-14T07:54:16Z,59568,"C#, JavaScript, Shell",0 issues/mês
meta-llama/llama,2023-02-14T09:29:12Z,59565,"Python, Shell",3 issues/mês
starship/starship,2019-04-02T03:23:12Z,59483,"Rust, Shell, PowerShell, Nushell, Lua",14 issues/mês
FiloSottile/mkcert,2018-06-25T05:33:03Z,59468,Go,1 issues/mês
termux/termux-app,2015-10-23T09:42:46Z,59448,"Java, C++, C, Shell, Makefile",33 issues/mês
rclone/rclone,2014-03-16T16:19:57Z,59261,"Go, Shell, Python, HTML, JavaScript",37 issues/mês
meilisearch/meilisearch,2018-04-23T11:45:28Z,59015,"Rust, Shell, Dockerfile",16 issues/mês
pathwaycom/llm-app,2023-07-19T08:43:37Z,59007,"Jupyter Notebook, Python, Dockerfile",0 issues/mês
rust-unofficial/awesome-rust,2014-07-17T10:45:10Z,58897,Rust,0 issues/mês
penpot/penpot,2015-12-29T22:09:07Z,58886,"Clojure, JavaScript, Rust, TypeScript, SCSS",Múltiplas issues no mesmo dia
mvanhorn/last30days-skill,2026-01-23T20:37:37Z,58697,"Python, Go, Shell, HTML",50 issues/mês
rails/rails,2008-04-11T02:19:47Z,58694,"Ruby, JavaScript, HTML, SCSS, CSS",50 issues/mês
tiimgreen/github-cheat-sheet,2014-04-12T16:38:42Z,58604,Sem linguagem,0 issues/mês
pmndrs/zustand,2019-04-09T09:10:06Z,58583,"TypeScript, JavaScript",0 issues/mês
angular/angular.js,2010-01-06T00:34:37Z,58536,"JavaScript, HTML, Shell, BitBake, CSS",3 issues/mês
MemPalace/mempalace,2026-04-05T01:12:07Z,58463,"Python, Shell, HTML, CSS, Vue",300 issues/mês
FoundationAgents/OpenManus,2025-03-06T14:08:14Z,58013,"Python, TypeScript, Dockerfile",3 issues/mês
ultralytics/yolov5,2020-05-18T03:45:11Z,57905,"Python, Shell, Dockerfile",2 issues/mês
h5bp/html5-boilerplate,2010-01-24T18:03:24Z,57594,"JavaScript, HTML",1 issues/mês
scutan90/DeepLearning-500-questions,2018-06-27T06:36:45Z,57537,"JavaScript, HTML",0 issues/mês
go-gitea/gitea,2016-11-01T02:13:26Z,57495,"Go, Handlebars, TypeScript, CSS, JavaScript",150 issues/mês
deepfakes/faceswap,2017-12-19T09:44:13Z,57469,"Python, Shell, NSIS",2 issues/mês
zylon-ai/private-gpt,2023-05-02T09:15:31Z,57444,"Python, HTML, MDX, Jinja, Dockerfile",3 issues/mês
crewAIInc/crewAI,2023-10-27T03:26:59Z,57318,"Python, JavaScript, CSS, Jinja, Shell",42 issues/mês
karpathy/nanochat,2025-10-13T13:46:35Z,57312,"Python, Jupyter Notebook, Shell",3 issues/mês
wasabeef/awesome-android-ui,2014-12-24T01:45:03Z,57250,Sem linguagem,0 issues/mês
Textualize/rich,2019-11-10T15:28:09Z,57087,"Python, Batchfile, Makefile",15 issues/mês
appwrite/appwrite,2019-04-08T16:36:25Z,57057,"TypeScript, PHP, Shell, Dockerfile, JavaScript",37 issues/mês
FuelLabs/fuel-core,2020-08-27T21:12:14Z,56899,"Rust, Lua, Shell, Dockerfile, Makefile",1 issues/mês
soimort/you-get,2012-08-20T15:53:36Z,56872,"Python, Shell, Makefile",Sem issues
remotion-dev/remotion,2020-06-23T19:49:10Z,56823,"TypeScript, PHP, MDX, JavaScript, Rust",Múltiplas issues no mesmo dia
BerriAI/litellm,2023-07-27T00:09:52Z,56755,"Python, TypeScript, HTML, Rust, HCL",Múltiplas issues no mesmo dia
ageitgey/face_recognition,2017-03-03T21:52:39Z,56668,"Python, Dockerfile, Makefile",1 issues/mês
remix-run/react-router,2014-05-16T22:22:51Z,56557,"TypeScript, JavaScript, CSS, Shell, MDX",14 issues/mês
golang-standards/project-layout,2017-09-09T16:33:26Z,56476,Makefile,0 issues/mês
makeplane/plane,2022-11-19T12:55:01Z,56138,"TypeScript, Python, HTML, CSS, Shell",Múltiplas issues no mesmo dia
Zie619/n8n-workflows,2025-05-14T08:43:59Z,56122,"Python, HTML, PLpgSQL, JavaScript, Shell",1 issues/mês
laurent22/joplin,2017-01-16T21:49:41Z,56009,"TypeScript, JavaScript, Rust, HTML, CSS",100 issues/mês
jellyfin/jellyfin,2018-12-09T06:36:45Z,55944,"C#, HTML, Shell, CSS",150 issues/mês
gatsbyjs/gatsby,2015-05-21T22:43:05Z,55942,"JavaScript, TypeScript, CSS, HTML, MDX",1 issues/mês
azl397985856/leetcode,2018-03-30T09:13:51Z,55758,"JavaScript, Python, Ruby",0 issues/mês
Raphire/Win11Debloat,2020-10-27T22:26:59Z,55708,"PowerShell, Batchfile",18 issues/mês
firstcontributions/first-contributions,2016-09-20T14:35:09Z,55560,Sem linguagem,10 issues/mês
typst/typst,2019-09-24T21:41:56Z,55524,"Rust, Typst, JavaScript, TypeScript, CSS",50 issues/mês
usestrix/strix,2025-08-05T21:28:30Z,55506,"Python, Go, TypeScript, Jinja, Shell",100 issues/mês
FlowiseAI/Flowise,2023-03-31T12:23:09Z,55380,"TypeScript, JavaScript, HTML, Handlebars, CSS",25 issues/mês
AntonOsika/gpt-engineer,2023-04-29T12:52:15Z,55134,"Python, Makefile, HTML, Dockerfile, Shell",1 issues/mês
twentyhq/twenty,2022-12-01T13:04:40Z,55127,"TypeScript, MDX, JavaScript, Python, CSS",300 issues/mês
PowerShell/PowerShell,2016-01-13T23:41:35Z,54990,"C#, PowerShell, Roff, Shell, HTML",42 issues/mês
romkatv/powerlevel10k,2019-02-24T19:09:45Z,54941,"Shell, C++, Makefile",2 issues/mês
ngosang/trackerslist,2016-04-24T11:57:57Z,54904,Sem linguagem,6 issues/mês
jingyaogong/minimind,2024-07-27T04:34:12Z,54834,Python,4 issues/mês
TryGhost/Ghost,2013-05-04T11:09:13Z,54796,"JavaScript, TypeScript, CSS, Handlebars, HTML",27 issues/mês
facebookresearch/segment-anything,2023-03-23T17:03:03Z,54709,"Jupyter Notebook, Python, Shell",1 issues/mês
WerWolv/ImHex,2020-11-10T14:27:00Z,54510,"C++, CMake, Objective-C, C#, GLSL",75 issues/mês
wagoodman/dive,2018-05-13T15:44:01Z,54475,"Go, Makefile, Dockerfile",1 issues/mês
lencx/ChatGPT,2022-12-07T09:43:02Z,54446,"Rust, TypeScript, JavaScript, HTML, CSS",4 issues/mês
maybe-finance/maybe,2024-01-01T22:23:46Z,54321,"Ruby, HTML, JavaScript, CSS, Shell",Sem issues
psf/requests,2011-02-13T18:38:17Z,54241,"Python, Makefile",7 issues/mês
vuejs/core,2018-06-12T13:49:36Z,54222,"TypeScript, JavaScript, HTML, Vue, CSS",37 issues/mês
ElemeFE/element,2016-09-03T06:19:26Z,54056,"Vue, JavaScript, SCSS, Shell, Makefile",2 issues/mês
agalwood/Motrix,2018-12-18T11:45:05Z,53998,"TypeScript, JavaScript, Rust, CSS, Dockerfile",300 issues/mês
odoo/odoo,2014-05-13T15:38:58Z,53800,"Python, JavaScript, SCSS, Fluent, CSS",60 issues/mês
google/material-design-icons,2014-10-08T18:01:28Z,53782,Sem linguagem,25 issues/mês
mozilla/pdf.js,2011-04-26T06:32:03Z,53755,"JavaScript, Fluent, CSS, HTML, Python",37 issues/mês
necolas/normalize.css,2011-05-04T10:20:25Z,53521,CSS,0 issues/mês
freqtrade/freqtrade,2017-05-17T23:48:53Z,53434,"Python, Jinja, PowerShell, Jupyter Notebook, Shell",37 issues/mês
JetBrains/kotlin,2012-02-13T17:29:58Z,53352,"Kotlin, Java, C, C++, Objective-C++",Sem issues
chinese-poetry/chinese-poetry,2016-09-02T03:32:25Z,53179,"JavaScript, Python",0 issues/mês
vsouza/awesome-ios,2014-07-10T16:03:45Z,53106,Swift,0 issues/mês
ggml-org/whisper.cpp,2022-09-25T18:26:37Z,53035,"C++, C, Cuda, Metal, GLSL",17 issues/mês
aaif-goose/goose,2024-08-23T19:03:36Z,52993,"Rust, TypeScript, Python, Shell, HTML",300 issues/mês
microsoft/VibeVoice,2025-08-25T13:24:01Z,52927,Python,4 issues/mês
dockur/windows,2024-01-14T13:09:40Z,52900,"Shell, Batchfile, Dockerfile",13 issues/mês
lyswhut/lx-music-desktop,2019-08-14T14:31:08Z,52891,"TypeScript, Vue, JavaScript, Less, HTML",27 issues/mês
sickcodes/Docker-OSX,2020-06-04T11:01:37Z,52868,"Shell, Dockerfile, Python, Mustache",1 issues/mês
hesreallyhim/awesome-claude-code,2025-04-19T20:55:59Z,52625,"Python, Makefile",Múltiplas issues no mesmo dia
ionic-team/ionic-framework,2013-08-20T23:06:02Z,52619,"TypeScript, HTML, SCSS, JavaScript, Vue",11 issues/mês
jesseduffield/lazydocker,2019-05-18T08:53:50Z,52544,"Go, Shell, Dockerfile",2 issues/mês
lllyasviel/Fooocus,2023-08-09T18:43:40Z,52419,"Python, JavaScript, CSS, Dockerfile, Jupyter Notebook",5 issues/mês
prettier/prettier,2016-11-29T17:13:37Z,52204,"JavaScript, CSS, Vue, HTML, MDX",30 issues/mês
xai-org/grok-1,2024-03-17T08:53:38Z,52160,Python,Sem issues
etcd-io/etcd,2013-07-06T21:57:21Z,52128,"Go, Shell, Jsonnet, Makefile, Procfile",33 issues/mês
bmad-code-org/BMAD-METHOD,2025-04-13T14:54:25Z,52071,"JavaScript, Python, HTML, CSS, Shell",50 issues/mês
VoltAgent/awesome-openclaw-skills,2026-01-25T09:22:32Z,52053,Sem linguagem,4 issues/mês
google/guava,2014-05-29T16:23:17Z,51886,"Java, Shell, JavaScript, HTML",3 issues/mês
anthropics/claude-cookbooks,2023-08-15T20:23:51Z,51850,"Jupyter Notebook, Python, TypeScript, Shell, CSS",6 issues/mês
dkhamsing/open-source-ios-apps,2015-01-26T23:32:34Z,51759,Sem linguagem,6 issues/mês
run-llama/llama_index,2022-11-02T04:24:54Z,51744,"Python, Jupyter Notebook, Makefile, JavaScript, HTML",150 issues/mês
expo/expo,2016-08-15T17:14:25Z,51702,"TypeScript, Kotlin, Swift, JavaScript, Objective-C",Múltiplas issues no mesmo dia
Avik-Jain/100-Days-Of-ML-Code,2018-07-05T09:11:43Z,51651,Sem linguagem,Sem issues
jekyll/jekyll,2008-10-20T06:29:03Z,51637,"Ruby, Gherkin, JavaScript, HTML, Shell",3 issues/mês
dbeaver/dbeaver,2015-10-21T08:26:28Z,51476,"Java, C++, JavaScript, ANTLR, CSS",150 issues/mês
charlax/professional-programming,2015-11-07T05:07:52Z,51429,"Python, HTML",0 issues/mês
poteto/hiring-without-whiteboards,2017-03-15T05:09:01Z,51410,JavaScript,Sem issues
DefinitelyTyped/DefinitelyTyped,2012-10-05T16:39:45Z,51375,"TypeScript, JavaScript, Shell",1 issues/mês
ethereum/go-ethereum,2013-12-26T13:05:46Z,51300,"Go, C, JavaScript, Assembly, Sage",27 issues/mês
justjavac/wechat-miniapp-radar,2016-09-22T20:04:48Z,51183,"TypeScript, CSS, JavaScript",0 issues/mês
Semantic-Org/Semantic-UI,2013-04-08T23:32:04Z,51028,"JavaScript, Less, HTML",0 issues/mês
diegosouzapw/OmniRoute,2026-02-13T12:38:31Z,51018,"TypeScript, JavaScript, Shell, Python, Dockerfile",Múltiplas issues no mesmo dia
cypress-io/cypress,2015-03-04T00:46:28Z,50978,"TypeScript, JavaScript, Vue, HTML, SCSS",75 issues/mês
jamiepine/voicebox,2026-01-25T12:27:03Z,50842,"TypeScript, Python, Rust, Shell, Just",75 issues/mês
CherryHQ/cherry-studio,2024-05-24T01:56:26Z,50776,"TypeScript, JavaScript, CSS, HTML, Python",Múltiplas issues no mesmo dia
bannedbook/fanqiang,2015-01-14T00:34:25Z,50411,"Kotlin, JavaScript, HTML, Java, Shell",4 issues/mês
nlohmann/json,2013-07-04T08:47:49Z,50401,"C++, CMake, Python, Makefile, Starlark",23 issues/mês
mastodon/mastodon,2016-02-22T15:01:25Z,50221,"Ruby, TypeScript, JavaScript, SCSS, Haml",50 issues/mês
TanStack/query,2019-09-10T19:23:58Z,50165,"TypeScript, JavaScript, Svelte, Vue, HTML",33 issues/mês
skylot/jadx,2013-03-18T17:08:21Z,50131,"Java, Smali, Kotlin, Lex, Go Template",10 issues/mês
serhii-londar/open-source-mac-os-apps,2017-11-03T02:35:33Z,50088,Sem linguagem,3 issues/mês
AlistGo/alist,2020-12-23T17:40:29Z,50059,"Go, Shell, Dockerfile, Makefile",20 issues/mês
jgthms/bulma,2016-01-23T23:48:34Z,50053,"CSS, SCSS, JavaScript, Shell, Sass",2 issues/mês
chenglou/pretext,2026-03-07T21:06:28Z,49935,"TypeScript, HTML",6 issues/mês
tldraw/tldraw,2021-05-09T11:48:37Z,49862,"TypeScript, MDX, CSS, JavaScript, HTML",Múltiplas issues no mesmo dia
huginn/huginn,2013-03-10T06:00:31Z,49824,"Ruby, HTML, JavaScript, Shell, Dockerfile",2 issues/mês
NARKOZ/hacker-scripts,2015-11-21T19:05:09Z,49801,"JavaScript, Python, Java, Perl, Kotlin",1 issues/mês
Lordog/dive-into-llms,2024-04-08T13:11:40Z,49756,Jupyter Notebook,1 issues/mês
jakevdp/PythonDataScienceHandbook,2016-08-10T14:24:36Z,49636,"Jupyter Notebook, Python, HTML, CSS, Less",1 issues/mês
roboflow/supervision,2022-11-28T14:08:44Z,49538,Python,6 issues/mês
pandas-dev/pandas,2010-08-24T01:37:33Z,49519,"Python, Cython, C, HTML, C++",50 issues/mês
kelseyhightower/kubernetes-the-hard-way,2016-07-07T14:15:27Z,49502,Sem linguagem,0 issues/mês
hashicorp/terraform,2014-03-13T22:25:48Z,49487,"Go, HCL, Shell, Dockerfile, Makefile",21 issues/mês
ChromeDevTools/chrome-devtools-mcp,2025-09-11T10:39:55Z,49408,"TypeScript, JavaScript, HTML",33 issues/mês
ClickHouse/ClickHouse,2016-06-02T08:28:18Z,49338,"C++, Python, Shell, Assembly, C",Múltiplas issues no mesmo dia
chen08209/FlClash,2023-08-15T07:47:22Z,49265,"Dart, Kotlin, Rust, C++, Go",300 issues/mês
astral-sh/ruff,2022-08-09T17:17:44Z,49254,"Rust, Python, TypeScript, Shell, CSS",75 issues/mês
Homebrew/brew,2016-03-06T05:08:38Z,49206,"Ruby, Shell, Roff, HTML, Rich Text Format",37 issues/mês
x64dbg/x64dbg,2015-04-11T20:48:23Z,49199,"C++, C, Python, CMake, CSS",7 issues/mês
GokuMohandas/Made-With-ML,2018-11-05T03:44:27Z,49142,"Jupyter Notebook, Python, Shell, Makefile",0 issues/mês
