Repositorio,Criado Em,Estrelas,Tags
dockur/windows,2024-01-14T13:09:40Z,52901,126
lyswhut/lx-music-desktop,2019-08-14T14:31:08Z,52892,114
sickcodes/Docker-OSX,2020-06-04T11:01:37Z,52869,0
hesreallyhim/awesome-claude-code,2025-04-19T20:55:59Z,52631,4
ionic-team/ionic-framework,2013-08-20T23:06:02Z,52619,983
jesseduffield/lazydocker,2019-05-18T08:53:50Z,52545,60
lllyasviel/Fooocus,2023-08-09T18:43:40Z,52421,23
prettier/prettier,2016-11-29T17:13:37Z,52205,189
xai-org/grok-1,2024-03-17T08:53:38Z,52159,0
etcd-io/etcd,2013-07-06T21:57:21Z,52130,935
bmad-code-org/BMAD-METHOD,2025-04-13T14:54:25Z,52074,164
VoltAgent/awesome-openclaw-skills,2026-01-25T09:22:32Z,52055,0
google/guava,2014-05-29T16:23:17Z,51887,123
anthropics/claude-cookbooks,2023-08-15T20:23:51Z,51851,0
dkhamsing/open-source-ios-apps,2015-01-26T23:32:34Z,51761,37
run-llama/llama_index,2022-11-02T04:24:54Z,51745,467
expo/expo,2016-08-15T17:14:25Z,51703,0
Avik-Jain/100-Days-Of-ML-Code,2018-07-05T09:11:43Z,51651,0
jekyll/jekyll,2008-10-20T06:29:03Z,51635,160
dbeaver/dbeaver,2015-10-21T08:26:28Z,51477,264
charlax/professional-programming,2015-11-07T05:07:52Z,51430,0
poteto/hiring-without-whiteboards,2017-03-15T05:09:01Z,51415,0
DefinitelyTyped/DefinitelyTyped,2012-10-05T16:39:45Z,51377,1
ethereum/go-ethereum,2013-12-26T13:05:46Z,51300,276
justjavac/wechat-miniapp-radar,2016-09-22T20:04:48Z,51183,0
diegosouzapw/OmniRoute,2026-02-13T12:38:31Z,51058,313
Semantic-Org/Semantic-UI,2013-04-08T23:32:04Z,51028,160
cypress-io/cypress,2015-03-04T00:46:28Z,50978,900
jamiepine/voicebox,2026-01-25T12:27:03Z,50847,27
CherryHQ/cherry-studio,2024-05-24T01:56:26Z,50781,325
bannedbook/fanqiang,2015-01-14T00:34:25Z,50414,26
nlohmann/json,2013-07-04T08:47:49Z,50401,57
mastodon/mastodon,2016-02-22T15:01:25Z,50221,370
TanStack/query,2019-09-10T19:23:58Z,50165,2400
skylot/jadx,2013-03-18T17:08:21Z,50132,36
serhii-londar/open-source-mac-os-apps,2017-11-03T02:35:33Z,50088,0
AlistGo/alist,2020-12-23T17:40:29Z,50059,152
jgthms/bulma,2016-01-23T23:48:34Z,50053,66
chenglou/pretext,2026-03-07T21:06:28Z,49936,5
tldraw/tldraw,2021-05-09T11:48:37Z,49863,314
huginn/huginn,2013-03-10T06:00:31Z,49825,2
NARKOZ/hacker-scripts,2015-11-21T19:05:09Z,49801,0
Lordog/dive-into-llms,2024-04-08T13:11:40Z,49759,1
jakevdp/PythonDataScienceHandbook,2016-08-10T14:24:36Z,49636,0
roboflow/supervision,2022-11-28T14:08:44Z,49541,100
pandas-dev/pandas,2010-08-24T01:37:33Z,49519,191
kelseyhightower/kubernetes-the-hard-way,2016-07-07T14:15:27Z,49502,7
hashicorp/terraform,2014-03-13T22:25:48Z,49487,468
ChromeDevTools/chrome-devtools-mcp,2025-09-11T10:39:55Z,49411,58
ClickHouse/ClickHouse,2016-06-02T08:28:18Z,49338,2031
chen08209/FlClash,2023-08-15T07:47:22Z,49271,207
astral-sh/ruff,2022-08-09T17:17:44Z,49256,424
Homebrew/brew,2016-03-06T05:08:38Z,49207,527
x64dbg/x64dbg,2015-04-11T20:48:23Z,49200,35
GokuMohandas/Made-With-ML,2018-11-05T03:44:27Z,49143,1
apple/container,2025-05-30T21:26:05Z,49079,22
JuliaLang/julia,2011-04-21T07:01:50Z,49018,209
bigskysoftware/htmx,2020-04-13T16:17:51Z,48979,90
stablyai/orca,2026-03-17T03:28:57Z,48956,1072
calesthio/OpenMontage,2026-03-29T15:23:22Z,48935,0
metabase/metabase,2015-02-02T19:25:47Z,48835,2238
akullpp/awesome-java,2014-07-09T10:12:43Z,48786,0
tmux/tmux,2015-06-03T23:32:55Z,48721,44
algorithm-visualizer/algorithm-visualizer,2016-05-15T00:27:45Z,48671,0
iamkun/dayjs,2018-04-10T09:26:44Z,48664,131
DovAmir/awesome-design-patterns,2018-06-04T17:47:48Z,48622,0
upscayl/upscayl,2022-07-30T17:19:20Z,48611,37
mudler/LocalAI,2023-03-18T22:58:02Z,48579,176
KRTirtho/spotube,2021-02-14T03:17:58Z,48500,44
nilbuild/design-patterns-for-humans,2017-02-16T21:24:39Z,48461,0
type-challenges/type-challenges,2020-07-23T14:33:11Z,48445,0
Aider-AI/aider,2023-05-09T18:57:49Z,48328,261
brillout/awesome-react-components,2016-06-24T15:19:33Z,48229,0
ReactiveX/RxJava,2013-01-08T20:11:48Z,48202,308
slidevjs/slidev,2021-04-24T01:25:23Z,48153,446
moeru-ai/airi,2024-12-01T16:33:36Z,48095,148
pixijs/pixijs,2013-01-21T22:40:50Z,48036,332
hugohe3/ppt-master,2025-12-10T06:54:33Z,48000,29
router-for-me/CLIProxyAPI,2025-07-01T19:43:27Z,47928,1068
moment/moment,2011-03-01T02:46:06Z,47914,89
karan/Projects,2013-07-04T13:37:27Z,47877,0
HKUDS/CLI-Anything,2026-03-08T13:52:57Z,47815,3
calcom/cal.diy,2021-03-22T13:47:42Z,47802,624
microsoft/qlib,2020-08-14T06:46:00Z,47752,26
gogs/gogs,2014-02-12T01:57:08Z,47742,98
minimaxir/big-list-of-naughty-strings,2015-08-08T20:57:20Z,47707,0
bevyengine/bevy,2020-01-18T21:13:55Z,47702,60
discourse/discourse,2013-01-12T00:25:55Z,47676,574
lukasz-madon/awesome-remote-job,2015-01-02T00:31:34Z,47652,0
prisma/prisma,2019-06-20T13:33:47Z,47571,743
oobabooga/textgen,2022-12-21T04:17:37Z,47552,113
GitHubDaily/GitHubDaily,2018-12-30T13:56:58Z,47509,0
acmesh-official/acme.sh,2015-12-26T12:56:33Z,47489,48
jeecgboot/JeecgBoot,2018-11-26T10:40:00Z,47415,81
dypsilon/frontend-dev-bookmarks,2013-06-22T13:23:55Z,47394,1
coreybutler/nvm-windows,2014-09-20T16:37:28Z,47390,23
slab/quill,2012-07-30T23:23:18Z,47304,153
rohitg00/ai-engineering-from-scratch,2026-03-18T18:38:02Z,47192,2
HKUDS/nanobot,2026-02-01T07:16:15Z,47176,19
typescript-cheatsheets/react,2018-06-02T04:08:16Z,47100,0
lysine-dev/okhttp,2012-07-23T13:42:55Z,47051,142
elder-plinius/CL4R1T4S,2025-03-04T20:03:16Z,47040,0
gedoor/legado,2019-05-22T04:18:58Z,47010,0
KeygraphHQ/shannon,2025-09-27T01:51:47Z,46938,19
v2ray/v2ray-core,2015-09-04T11:42:53Z,46934,350
serverless/serverless,2015-04-21T03:48:40Z,46917,537
exo-explore/exo,2024-06-24T18:36:22Z,46884,34
multica-ai/multica,2026-01-13T17:59:46Z,46845,151
kepano/obsidian-skills,2026-01-02T21:45:11Z,46790,0
Asabeneh/30-Days-Of-JavaScript,2019-12-23T14:07:40Z,46718,0
hiroi-sora/Umi-OCR,2022-03-28T04:01:46Z,46689,33
SimplifyJobs/Summer2027-Internships,2020-05-23T20:53:18Z,46580,0
zhayujie/CowAgent,2022-08-07T08:33:41Z,46571,95
microsoft/monaco-editor,2016-06-07T16:56:31Z,46556,610
apache/airflow,2015-04-13T18:04:58Z,46536,10149
usebruno/bruno,2022-09-27T20:51:45Z,46408,173
LeCoupa/awesome-cheatsheets,2017-11-09T02:47:15Z,46377,0
9001/copyparty,2019-05-26T15:28:33Z,46309,385
docker/awesome-compose,2020-02-13T08:51:42Z,46119,0
Alishahryar1/free-claude-code,2026-01-28T19:02:30Z,46082,0
ziishaned/learn-regex,2017-07-22T12:21:03Z,46078,0
iina/iina,2016-12-19T07:18:45Z,46012,71
RocketChat/Rocket.Chat,2015-05-19T07:36:09Z,46005,1287
jgm/pandoc,2010-03-20T20:34:23Z,45938,294
coqui-ai/TTS,2020-05-20T15:45:28Z,45917,98
siyuan-note/siyuan,2020-08-30T09:21:35Z,45890,945
cli/cli,2019-10-03T15:24:53Z,45889,200
helix-editor/helix,2020-06-01T04:26:56Z,45880,30
DavidHDev/react-bits,2024-08-06T06:54:54Z,45815,0
DIYgod/RSSHub,2018-04-02T14:43:21Z,45810,0
android/architecture-samples,2016-02-05T13:42:07Z,45795,0
zhongyang219/TrafficMonitor,2017-07-30T02:51:17Z,45780,27
milvus-io/milvus,2019-09-16T06:43:43Z,45698,232
google/zx,2021-05-05T05:50:01Z,45676,105
karanpratapsingh/system-design,2022-08-15T18:59:54Z,45643,0
QuantumNous/new-api,2023-11-10T19:33:36Z,45612,681
abhigyanpatwari/GitNexus,2025-08-02T23:20:31Z,45583,1481
streamlit/streamlit,2019-08-24T00:14:52Z,45574,2570
ColorlibHQ/AdminLTE,2013-12-25T02:52:40Z,45546,104
Leaflet/Leaflet,2010-09-22T16:57:44Z,45495,61
jestjs/jest,2013-12-10T00:18:04Z,45468,322
isocpp/CppCoreGuidelines,2015-08-19T20:22:52Z,45252,4
grpc/grpc,2014-12-08T18:58:53Z,45231,422
sickn33/agentic-awesome-skills,2026-01-14T17:48:09Z,45139,188
GitSquared/edex-ui,2017-01-28T09:35:02Z,45043,31
pyenv/pyenv,2012-08-31T06:57:52Z,45032,244
fastapi/full-stack-fastapi-template,2019-02-23T15:08:34Z,44960,15
MHSanaei/3x-ui,2023-02-09T19:16:57Z,44943,126
coreyhaines31/marketingskills,2026-01-15T19:45:23Z,44893,39
react-hook-form/react-hook-form,2019-03-05T23:47:10Z,44822,766
meteor/meteor,2012-01-19T01:58:17Z,44809,1634
sudheerj/reactjs-interview-questions,2018-05-31T17:17:01Z,44740,0
mitmproxy/mitmproxy,2010-02-16T04:10:13Z,44737,121
DataTalksClub/data-engineering-zoomcamp,2021-10-21T09:32:50Z,44735,0
vercel/hyper,2016-07-01T06:01:21Z,44695,125
files-community/Files,2019-01-04T18:19:14Z,44677,140
vnpy/vnpy,2015-03-02T03:36:58Z,44618,69
getsentry/sentry,2010-08-30T22:06:41Z,44575,489
logseq/logseq,2020-05-23T00:06:06Z,44511,200
spf13/cobra,2013-09-03T20:40:26Z,44466,29
charmbracelet/bubbletea,2020-01-10T21:04:03Z,44456,107
paperless-ngx/paperless-ngx,2022-02-12T21:56:52Z,44411,227
NaiboWang/EasySpider,2020-07-18T02:41:27Z,44373,11
AykutSarac/jsoncrack.com,2022-01-30T15:25:18Z,44298,23
payloadcms/payload,2021-01-05T18:49:45Z,44267,1182
sharkdp/fd,2017-05-09T21:27:10Z,44139,44
janhq/jan,2023-08-17T02:17:10Z,44052,212
parcel-bundler/parcel,2017-08-07T16:36:47Z,44020,488
streamich/react-use,2018-10-27T10:16:05Z,44019,266
Kong/kong,2014-11-17T23:56:08Z,44003,178
yangshun/front-end-interview-handbook,2018-01-13T19:40:08Z,43991,0
babel/babel,2014-09-28T13:38:23Z,43986,925
zen-browser/desktop,2024-03-28T00:05:55Z,43980,188
lysine-dev/retrofit,2010-09-06T21:39:43Z,43934,58
astaxie/build-web-application-with-golang,2012-08-02T11:49:35Z,43901,0
apache/spark,2014-02-25T08:00:08Z,43840,304
DataExpert-io/data-engineer-handbook,2023-11-19T19:47:41Z,43784,0
aymericdamien/TensorFlow-Examples,2015-11-11T14:21:19Z,43732,0
ccxt/ccxt,2017-05-14T15:41:56Z,43667,1153
ray-project/ray,2016-10-25T19:38:30Z,43559,134
juspay/hyperswitch,2022-10-17T11:18:28Z,43503,1484
colinhacks/zod,2020-03-07T20:59:08Z,43492,206
danielmiessler/Fabric,2024-01-03T23:18:31Z,43480,437
gradio-app/gradio,2018-12-19T08:24:04Z,43388,5890
Light-City/CPlusPlusThings,2019-07-14T08:45:45Z,43363,0
ziglang/zig,2015-08-06T00:51:28Z,43316,24
alex/what-happens-when,2013-11-07T04:30:06Z,43293,0
Unitech/pm2,2013-05-21T03:25:25Z,43269,170
HeyPuter/puter,2024-03-03T01:44:32Z,43106,25
zbezj/HEU_KMS_Activator,2019-06-23T00:49:35Z,43098,54
FuelLabs/fuels-rs,2021-10-31T22:33:54Z,43066,121
mifi/lossless-cut,2016-10-30T10:49:56Z,43038,186
FuelLabs/fuels-ts,2021-09-03T18:11:03Z,43028,200
Imbad0202/academic-research-skills,2026-02-26T06:31:01Z,43026,42
juanfont/headscale,2020-06-21T09:21:05Z,43004,173
deepspeedai/DeepSpeed,2020-01-23T18:35:18Z,42961,127
faif/python-patterns,2012-06-06T21:02:35Z,42933,1
curl/curl,2010-03-18T22:32:22Z,42639,225
k88hudson/git-flight-rules,2014-07-22T20:35:09Z,42595,0
mingrammer/diagrams,2020-02-02T15:23:24Z,42525,48
apachecn/ailearning,2017-02-25T08:53:02Z,42464,2
Alamofire/Alamofire,2014-07-31T05:56:19Z,42415,107
danny-avila/LibreChat,2023-02-12T01:06:52Z,42234,99
imputnet/cobalt,2022-07-08T18:12:55Z,42144,0
saadeghi/daisyui,2020-11-28T22:57:27Z,42128,680
666ghj/BettaFish,2024-07-01T13:11:38Z,42040,9
fastlane/fastlane,2014-12-02T17:00:38Z,42004,1357
LC044/WeChatMsg,2023-01-11T05:03:49Z,41972,0
nolimits4web/swiper,2012-03-14T19:11:45Z,41883,399
psf/black,2018-03-14T19:54:45Z,41809,73
agno-agi/agno,2022-05-04T15:23:02Z,41785,236
hexojs/hexo,2012-09-23T15:17:08Z,41771,161
aria2/aria2,2010-11-27T09:41:48Z,41746,152
freefq/free,2020-06-07T02:48:33Z,41738,0
dylanaraps/pure-bash-bible,2018-06-13T01:39:33Z,41719,0
heygen-com/hyperframes,2026-03-10T01:51:06Z,41684,380
chubin/cheat.sh,2017-05-07T21:40:56Z,41661,0
dcloudio/uni-app,2018-07-12T08:52:39Z,41598,1925
apache/dubbo,2012-06-19T07:56:02Z,41553,158
sxyazi/yazi,2023-07-08T11:45:55Z,41490,33
yarnpkg/yarn,2016-01-19T17:39:16Z,41485,175
tabler/tabler,2018-02-01T09:08:59Z,41484,73
chatboxai/chatbox,2023-03-06T12:22:15Z,41477,181
hpcaitech/ColossalAI,2021-10-28T16:19:44Z,41438,51
exelban/stats,2019-05-29T19:24:56Z,41297,349
nwjs/nw.js,2012-01-04T06:21:10Z,41161,391
amruthpillai/reactive-resume,2020-03-25T14:08:22Z,41152,138
styled-components/styled-components,2016-08-16T06:41:32Z,41122,326
XTLS/Xray-core,2020-11-09T11:23:10Z,41117,131
luongnv89/claude-howto,2025-11-07T22:59:34Z,41105,10
vuetifyjs/vuetify,2016-09-12T00:39:35Z,41030,688
bailicangdu/vue2-elm,2016-12-23T01:49:20Z,41026,0
gkd-kit/gkd,2023-07-04T03:59:15Z,41010,81
zai-org/ChatGLM-6B,2023-03-13T12:00:18Z,40989,0
vercel-labs/agent-browser,2026-01-11T05:38:15Z,40950,102
goabstract/Awesome-Design-Tools,2019-02-12T13:55:30Z,40927,0
QSCTech/zju-icicles,2016-06-28T16:17:32Z,40872,0
Hmbown/CodeWhale,2026-01-19T18:21:01Z,40829,176
vim/vim,2015-08-18T21:03:56Z,40773,19858
facebookresearch/faiss,2017-02-07T16:07:05Z,40768,32
ashishps1/awesome-system-design-resources,2023-10-25T01:50:42Z,40768,0
appsmithorg/appsmith,2020-06-30T04:07:36Z,40707,344
chatanywhere/GPT_API_free,2023-04-23T12:42:08Z,40696,0
remoteintech/remote-jobs,2015-10-13T03:49:25Z,40681,0
bradtraversy/50projects50days,2020-11-16T14:39:01Z,40613,0
PatrickJS/awesome-cursorrules,2024-09-16T15:38:38Z,40612,0
GyulyVGC/sniffnet,2022-07-31T21:55:56Z,40601,18
chakra-ui/chakra-ui,2019-08-17T14:27:54Z,40585,4859
trpc/trpc,2020-07-18T01:17:11Z,40527,462
ToolJet/ToolJet,2021-03-30T08:51:34Z,40506,723
pingcap/tidb,2015-09-06T04:01:52Z,40448,688
duckdb/duckdb,2018-06-26T15:04:45Z,40437,64
wg/wrk,2012-03-20T11:12:28Z,40389,21
LizardByte/Sunshine,2021-12-15T23:38:57Z,40336,46
php/php-src,2011-06-16T01:52:25Z,40297,1514
nushell/nushell,2019-05-10T16:59:42Z,40295,131
CorentinTh/it-tools,2020-04-05T11:50:24Z,40288,60
ManimCommunity/manim,2020-05-19T02:37:13Z,40261,34
outline/outline,2016-05-22T21:31:47Z,40249,251
phaserjs/phaser,2013-04-12T12:27:51Z,40171,197
microsoft/BitNet,2024-08-05T09:07:38Z,40102,0
photoprism/photoprism,2018-01-27T12:00:15Z,40090,83
gofiber/fiber,2020-01-16T03:59:20Z,40068,147
google-research/bert,2018-10-25T22:57:34Z,40047,0
langchain-ai/langgraph,2023-08-09T18:33:12Z,40029,570
evanw/esbuild,2016-06-14T16:08:50Z,40007,438
Kong/insomnia,2016-04-23T03:54:26Z,39956,1140
schollz/croc,2017-10-17T15:20:18Z,39953,213
go-gorm/gorm,2013-10-25T08:31:38Z,39909,118
koalaman/shellcheck,2012-11-17T03:15:11Z,39897,30
siddharthvaddem/openscreen,2025-10-10T05:36:55Z,39871,13
videojs/video.js,2010-05-14T18:45:10Z,39860,534
llvm/llvm-project,2016-12-07T09:39:33Z,39827,324
2noise/ChatTTS,2024-05-27T18:26:49Z,39772,7
vadimdemedes/ink,2017-06-12T06:12:28Z,39691,103
novuhq/novu,2021-08-26T15:22:44Z,39616,290
mindsdb/mindshub,2018-08-02T17:56:45Z,39607,377
qbittorrent/qBittorrent,2012-02-04T09:37:46Z,39570,257
DeusData/codebase-memory-mcp,2026-02-24T22:01:00Z,39555,52
floodsung/Deep-Learning-Papers-Reading-Roadmap,2016-10-14T11:49:48Z,39547,0
google/styleguide,2015-05-20T19:18:59Z,39514,0
lm-sys/FastChat,2023-03-19T00:18:02Z,39511,23
halo-dev/halo,2018-03-21T12:56:52Z,39505,269
bojieli/ai-agent-book,2025-09-09T02:41:44Z,39467,3
QuivrHQ/quivr,2023-05-12T23:53:30Z,39406,354
TeamNewPipe/NewPipe,2015-09-03T23:39:26Z,39401,150
pola-rs/polars,2020-05-13T19:45:33Z,39395,570
AstrBotDevs/AstrBot,2022-12-08T13:27:46Z,39387,261
google/leveldb,2014-08-27T21:17:52Z,39336,21
freeCodeCamp/devdocs,2013-10-24T18:16:07Z,39310,0
suno-ai/bark,2023-04-07T19:34:48Z,39239,0
ShareX/ShareX,2013-10-08T23:32:10Z,39200,94
drawdb-io/drawdb,2023-07-16T17:09:20Z,39162,11
HKUDS/LightRAG,2024-10-02T11:57:54Z,38991,99
google/googletest,2015-07-28T15:07:53Z,38940,30
wshobson/agents,2025-07-24T23:28:14Z,38927,0
datalab-to/marker,2023-10-30T20:14:08Z,38862,72
deepseek-ai/awesome-deepseek-integration,2024-01-11T02:43:17Z,38861,0
mattermost/mattermost,2015-06-15T06:50:02Z,38841,1579
aseprite/aseprite,2014-08-19T23:44:50Z,38839,213
rapid7/metasploit-framework,2011-08-30T06:13:20Z,38829,1060
RSSNext/Folo,2024-04-08T03:23:35Z,38827,158
preactjs/preact,2015-09-11T02:40:18Z,38825,356
YunaiV/ruoyi-vue-pro,2021-01-24T03:18:25Z,38818,66
Dogfalo/materialize,2014-09-12T19:35:38Z,38817,44
DioxusLabs/dioxus,2021-01-15T01:57:26Z,38811,51
spacedriveapp/spacedrive,2021-09-27T05:09:04Z,38794,30
lapce/lapce,2018-02-06T08:41:06Z,38748,35
ajeetdsouza/zoxide,2020-03-05T13:11:40Z,38728,38
ant-design/ant-design-pro,2017-08-25T10:40:44Z,38680,43
Yeachan-Heo/oh-my-claudecode,2026-01-09T03:36:29Z,38669,260
bytedance/UI-TARS-desktop,2025-01-19T09:04:43Z,38644,547
naptha/tesseract.js,2015-06-24T02:49:52Z,38638,77
gto76/python-cheatsheet,2018-01-25T04:16:53Z,38635,2
google-research/google-research,2018-10-04T18:42:48Z,38582,0
chatchat-space/Langchain-Chatchat,2023-03-31T12:12:45Z,38553,31
huiyadanli/RevokeMsgPatcher,2019-07-21T15:12:52Z,38524,21
kilimchoi/engineering-blogs,2015-06-13T18:25:17Z,38524,0
google/langextract,2025-07-08T20:46:06Z,38439,18
httpie/cli,2012-02-25T12:39:13Z,38431,50
dotnet/aspnetcore,2014-03-11T06:09:42Z,38379,351
istio/istio,2016-11-18T23:57:21Z,38359,456
portainer/portainer,2016-05-19T20:15:28Z,38272,207
frappe/erpnext,2011-06-08T08:20:56Z,38269,1802
umami-software/umami,2020-07-17T07:59:00Z,38260,112
sqlmapproject/sqlmap,2012-06-26T09:52:15Z,38223,140
PhilJay/MPAndroidChart,2014-04-25T14:29:47Z,38194,44
impress/impress.js,2011-12-28T22:23:19Z,38174,15
huihut/interview,2018-02-09T09:49:48Z,38140,0
ueberdosis/tiptap,2018-08-20T19:58:58Z,38077,6582
xyflow/xyflow,2019-07-15T14:47:30Z,38056,699
docker/compose,2013-12-09T11:40:58Z,38048,305
harness/harness,2014-02-07T07:54:44Z,38025,130
github/awesome-copilot,2025-06-11T16:57:39Z,38008,0
hyprwm/Hyprland,2022-03-16T19:49:13Z,37955,119
vlang/v,2019-02-08T02:57:06Z,37797,320
PostHog/posthog,2020-01-23T22:46:58Z,37777,1079
FreeCodeCampChina/freecodecamp.cn,2016-09-30T03:13:43Z,37774,0
servo/servo,2012-02-08T19:07:25Z,37734,14
anthropics/prompt-eng-interactive-tutorial,2024-04-02T15:52:00Z,37713,0
denysdovhan/wtfjs,2017-07-14T15:42:12Z,37674,40
Wei-Shaw/sub2api,2025-12-18T02:26:18Z,37668,39
TencentARC/GFPGAN,2021-03-19T06:18:20Z,37660,15
RVC-Project/Retrieval-based-Voice-Conversion-WebUI,2023-03-27T09:59:10Z,37655,8
NervJS/taro,2018-04-08T09:32:26Z,37643,1228
fengdu78/Coursera-ML-AndrewNg-Notes,2017-11-04T10:04:08Z,37590,0
shiyu-coder/Kronos,2025-07-01T02:54:32Z,37577,0
karpathy/LLM101n,2024-05-27T00:23:38Z,37506,0
TriliumNext/Trilium,2017-05-23T00:30:20Z,37505,364
aquasecurity/trivy,2019-04-11T01:01:07Z,37503,189
alibaba/arthas,2018-08-29T17:15:57Z,37495,83
directus/directus,2012-12-12T01:35:36Z,37469,453
alebcay/awesome-shell,2014-07-07T01:57:42Z,37465,0
PKUanonym/REKCARC-TSC-UHT,2019-04-05T03:31:23Z,37432,0
stanfordnlp/dspy,2023-01-09T21:01:51Z,37422,114
LAION-AI/Open-Assistant,2022-12-13T05:24:17Z,37407,127
exacity/deeplearningbook-chinese,2016-12-07T11:46:51Z,37362,7
pbatard/rufus,2011-11-19T19:12:05Z,37352,90
eugenp/tutorials,2013-04-29T18:26:36Z,37325,0
openai/gym,2016-04-27T14:59:16Z,37240,56
0voice/interview_internal_reference,2019-06-10T06:54:19Z,37237,0
myshell-ai/OpenVoice,2023-11-29T12:17:01Z,37159,0
SagerNet/sing-box,2022-06-30T13:27:22Z,37133,614
IceWhaleTech/CasaOS,2021-09-26T02:33:09Z,37099,115
huggingface/pytorch-image-models,2019-02-02T05:51:12Z,37075,78
lfnovo/open-notebook,2024-10-21T17:58:46Z,37065,44
markedjs/marked,2011-07-24T13:15:51Z,37065,219
satwikkansal/wtfpython,2017-08-28T20:22:19Z,37059,2
patchy631/ai-engineering-hub,2024-10-21T10:43:24Z,37035,0
fastify/fastify,2016-09-28T19:10:14Z,37006,328
mouredev/Hello-Python,2022-08-03T17:14:53Z,36997,0
Textualize/textual,2021-04-08T15:24:47Z,36976,223
AobingJava/JavaFamily,2019-11-12T04:26:18Z,36974,0
babysor/MockingBird,2021-08-07T03:53:39Z,36909,1
soxoj/maigret,2020-06-27T14:16:42Z,36887,39
CopilotKit/CopilotKit,2023-06-19T04:08:31Z,36848,1465
shadowsocks/shadowsocks-android,2012-12-16T13:40:29Z,36757,186
musistudio/claude-code-router,2025-02-25T02:17:18Z,36730,23
Dokploy/dokploy,2024-04-19T07:49:30Z,36718,170
ashishpatel26/500-AI-Agents-Projects,2024-12-20T13:37:15Z,36699,0
veggiemonk/awesome-docker,2014-09-21T17:01:48Z,36668,1
google-ai-edge/mediapipe,2019-06-13T19:16:41Z,36665,73
ZuodaoTech/everyone-can-use-english,2019-03-15T16:33:53Z,36661,49
microsoft/Data-Science-For-Beginners,2021-03-03T16:30:15Z,36655,0
date-fns/date-fns,2014-10-06T10:24:22Z,36629,213
typeorm/typeorm,2016-02-29T07:41:14Z,36629,112
jaywcjlove/linux-command,2016-11-12T15:44:26Z,36615,48
mpv-player/mpv,2012-10-13T08:08:44Z,36594,89
1Panel-dev/1Panel,2022-07-19T15:44:52Z,36575,127
blader/humanizer,2026-01-18T05:30:15Z,36568,4
khoj-ai/khoj,2021-08-16T01:48:44Z,36561,175
inkonchain/docs,2024-05-07T16:49:36Z,36524,0
xinntao/Real-ESRGAN,2021-07-19T03:23:30Z,36519,19
songquanpeng/one-api,2023-04-22T12:39:24Z,36482,405
nextcloud/server,2016-06-02T07:44:14Z,36479,1246
doocs/leetcode,2018-09-16T14:03:03Z,36477,21
inkonchain/node,2024-05-13T23:20:40Z,36477,6
hankcs/HanLP,2014-10-09T06:36:16Z,36477,62
HKUDS/DeepTutor,2025-12-28T15:35:54Z,36467,68
glanceapp/glance,2024-04-27T18:55:38Z,36460,34
open-guides/og-aws,2016-07-13T17:30:16Z,36442,0
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,2021-01-02T12:08:37Z,36384,0
inkonchain/ink-kit,2024-11-04T16:32:17Z,36384,0
tinyhumansai/openhuman,2026-02-18T20:01:27Z,36383,103
GorvGoyl/Clone-Wars,2020-12-02T11:10:16Z,36376,0
formulahendry/955.WLB,2019-03-27T23:53:37Z,36357,0
SheetJS/sheetjs,2012-12-03T19:25:52Z,36322,110
reworkd/AgentGPT,2023-04-07T02:29:19Z,36307,12
keycloak/keycloak,2013-07-02T13:38:51Z,36282,317
microsoft/playwright-mcp,2025-03-21T17:48:36Z,36281,72
ItzCrazyKns/Vane,2024-04-09T10:51:32Z,36253,39
PDFMathTranslate/PDFMathTranslate,2024-09-06T06:56:03Z,36227,24
AdguardTeam/AdGuardHome,2016-07-06T10:31:47Z,36223,256
jax-ml/jax,2018-10-25T21:25:02Z,36179,280
firecracker-microvm/firecracker,2017-10-19T06:18:47Z,36146,107
hashicorp/vault,2015-02-25T00:15:59Z,36141,483
pnpm/pnpm,2016-01-28T07:40:43Z,36139,1979
geekxh/hello-algorithm,2020-05-29T05:47:09Z,36091,0
carbon-app/carbon,2017-06-16T02:50:28Z,36090,221
Yuan1z0825/nature-skills,2026-04-24T03:11:46Z,36058,0
lerna/lerna,2015-12-04T09:36:55Z,36050,269
slatedocs/slate,2013-09-13T22:15:24Z,36039,29
Crosstalk-Solutions/project-nomad,2025-06-24T15:35:01Z,35998,77
zsh-users/zsh-autosuggestions,2013-10-26T16:09:37Z,35997,40
chatwoot/chatwoot,2019-08-14T06:50:51Z,35987,153
medusajs/medusa,2020-01-18T13:39:04Z,35908,14922
filebrowser/filebrowser,2015-09-11T21:21:58Z,35905,212
wailsapp/wails,2018-12-15T23:14:06Z,35891,457
solidjs/solid,2018-04-24T16:36:27Z,35869,361
OpenBMB/VoxCPM,2025-09-16T03:41:49Z,35867,14
XingangPan/DragGAN,2023-05-18T10:08:02Z,35767,0
junegunn/vim-plug,2013-09-10T14:58:51Z,35750,32
searxng/searxng,2021-04-12T15:18:15Z,35735,0
alan2207/bulletproof-react,2021-05-30T14:47:16Z,35721,0
airbnb/lottie-android,2016-10-06T22:42:42Z,35701,132
jondot/awesome-react-native,2015-03-26T19:58:06Z,35691,0
koajs/koa,2013-07-20T18:53:45Z,35687,125
opentofu/manifesto,2023-08-13T16:17:24Z,35675,0
