Repositorio,Criado Em,Estrelas,Tags
opendatalab/MinerU,2024-02-29T08:52:34Z,77990,213
elastic/elasticsearch,2010-02-08T13:20:56Z,77843,509
tensorflow/models,2016-02-05T01:15:20Z,77651,54
dair-ai/Prompt-Engineering-Guide,2022-12-16T16:04:50Z,77591,0
nomic-ai/gpt4all,2023-03-27T18:49:32Z,77404,71
FortAwesome/Font-Awesome,2012-02-17T14:19:43Z,76843,89
MisterBooo/LeetCodeAnimation,2018-12-06T08:01:22Z,76694,0
rtk-ai/rtk,2026-01-22T16:54:16Z,76665,281
nestjs/nest,2017-02-04T20:12:52Z,76403,371
grafana/grafana,2013-12-11T15:59:56Z,76307,727
sdmg15/Best-websites-a-programmer-should-visit,2017-03-05T20:25:17Z,76271,0
redis/redis,2009-03-21T22:32:25Z,76042,409
tesseract-ocr/tesseract,2014-08-12T18:04:59Z,75992,69
ocornut/imgui,2014-07-21T14:29:47Z,75735,159
AppFlowy-IO/AppFlowy,2021-06-16T12:56:48Z,75731,145
typicode/json-server,2013-11-27T13:21:13Z,75690,168
openai/openai-cookbook,2022-03-11T02:08:53Z,75358,0
obsproject/obs-studio,2013-10-01T02:40:31Z,75211,251
D4Vinci/Scrapling,2024-10-13T20:29:53Z,75191,52
PKUFlyingPig/cs-self-learning,2021-10-20T13:43:42Z,75049,5
caddyserver/caddy,2015-01-13T19:45:03Z,75022,154
shareAI-lab/learn-claude-code,2025-06-29T15:34:15Z,74672,0
python/cpython,2017-02-10T19:23:51Z,74408,667
enaqx/awesome-react,2014-08-06T05:31:44Z,74337,0
apache/superset,2015-07-21T18:55:34Z,74311,564
abi/screenshot-to-code,2023-11-14T17:53:32Z,74235,0
hiyouga/LlamaFactory,2023-05-28T10:09:12Z,74231,36
josephmisiti/awesome-machine-learning,2014-07-15T19:11:19Z,74074,0
Eugeny/tabby,2016-12-23T09:06:10Z,74007,241
unionlabs/union,2023-05-16T22:33:39Z,73851,131
twitter/the-algorithm,2023-03-27T14:57:57Z,73834,0
unslothai/unsloth,2023-11-29T16:50:09Z,73790,79
datawhalechina/hello-agents,2025-09-07T09:50:24Z,73775,3
thedaviddias/Front-End-Checklist,2017-10-16T10:12:36Z,73573,2
vuejs/awesome-vue,2015-10-20T00:16:14Z,73539,0
binhnguyennus/awesome-scalability,2017-12-27T03:46:40Z,73391,0
CompVis/stable-diffusion,2022-08-10T14:36:44Z,73309,0
Panniantong/Agent-Reach,2026-02-24T02:10:24Z,73035,7
strapi/strapi,2015-09-30T15:34:48Z,72965,553
danielmiessler/SecLists,2012-02-19T01:30:18Z,72932,31
fffaraz/awesome-cpp,2014-07-17T08:51:11Z,72830,0
ComposioHQ/awesome-claude-skills,2025-10-17T07:15:01Z,72799,0
microsoft/ai-agents-for-beginners,2024-11-28T10:42:52Z,72704,0
NationalSecurityAgency/ghidra,2019-03-01T03:27:48Z,72523,58
juliangarnier/anime,2016-03-13T21:37:45Z,72249,39
hakimel/reveal.js,2011-06-07T18:54:22Z,72152,54
pallets/flask,2010-04-06T11:11:59Z,72137,69
chrislgarry/Apollo-11,2014-04-03T15:45:02Z,72117,0
OpenBB-finance/OpenBB,2020-12-20T10:46:38Z,72043,69
moby/moby,2013-01-18T18:10:57Z,71984,593
daytonaio/daytona,2024-02-06T08:21:20Z,71963,376
protocolbuffers/protobuf,2014-08-26T15:52:15Z,71737,463
toeverything/AFFiNE,2022-07-31T18:45:21Z,71678,770
nektos/act,2019-01-02T19:53:43Z,71557,99
Asabeneh/30-Days-Of-Python,2019-11-19T17:24:16Z,71386,0
666ghj/MiroFish,2025-11-26T04:23:02Z,71211,3
binary-husky/gpt_academic,2023-03-20T09:05:13Z,71211,66
prakhar1989/awesome-courses,2014-11-15T18:36:49Z,70524,0
ansible/ansible,2012-03-06T14:58:02Z,70359,738
swiftlang/swift,2015-10-23T21:15:07Z,70258,3048
FoundationAgents/MetaGPT,2023-06-30T09:04:55Z,69898,23
expressjs/express,2009-06-26T18:56:01Z,69382,304
base/node,2023-02-01T13:55:02Z,68430,86
ruvnet/ruflo,2025-06-02T21:24:20Z,68319,1628
code-yeongyu/oh-my-openagent,2025-12-03T01:40:05Z,68104,257
openinterpreter/openinterpreter,2023-07-14T07:10:44Z,68074,77
chartjs/Chart.js,2013-03-17T23:56:36Z,67643,121
BurntSushi/ripgrep,2016-03-11T02:02:33Z,67407,272
labmlai/annotated_deep_learning_paper_implementations,2020-08-25T02:29:34Z,67313,0
apache/echarts,2013-04-03T03:18:59Z,67095,157
gorhill/uBlock,2015-04-01T17:51:11Z,67090,1126
colbymchenry/codegraph,2026-01-18T21:45:37Z,67079,32
scikit-learn/scikit-learn,2010-08-17T09:43:38Z,66971,155
headroomlabs-ai/headroom,2026-01-07T19:58:51Z,66876,163
bradtraversy/design-resources-for-developers,2020-05-06T14:40:35Z,66699,0
xtekky/gpt4free,2023-03-29T17:00:43Z,66565,520
sindresorhus/awesome-nodejs,2014-07-11T13:35:34Z,66561,0
leonardomso/33-js-concepts,2018-09-04T13:27:04Z,66510,0
cline/cline,2024-07-06T07:28:10Z,66477,668
TheAlgorithms/Java,2016-07-16T10:21:02Z,66169,0
facebook/docusaurus,2017-06-20T16:13:53Z,66000,189
webpack/webpack,2012-03-10T10:08:14Z,65969,670
prometheus/prometheus,2012-11-24T11:14:12Z,65753,550
LadybirdBrowser/ladybird,2024-05-30T09:18:10Z,65743,0
dani-garcia/vaultwarden,2018-02-17T22:40:20Z,65654,86
kelseyhightower/nocode,2018-02-06T23:54:00Z,65647,1
microsoft/AI-For-Beginners,2021-03-03T16:27:36Z,65638,0
santifer/career-ops,2026-04-04T18:21:18Z,65578,36
Fission-AI/OpenSpec,2025-08-05T10:37:45Z,65507,44
alacritty/alacritty,2016-02-18T05:02:30Z,65424,163
lydiahallie/javascript-questions,2019-06-12T08:26:27Z,65317,0
kdn251/interviews,2017-02-14T18:19:25Z,65219,0
docling-project/docling,2024-07-09T07:50:26Z,65200,207
localstack/localstack,2016-10-25T23:48:03Z,65146,108
Mintplex-Labs/anything-llm,2023-06-04T02:29:14Z,64918,34
shanraisshan/claude-code-best-practice,2025-10-31T14:15:28Z,64720,0
gsd-build/get-shit-done,2025-12-14T14:17:12Z,64672,229
nocodb/nocodb,2017-10-29T18:51:48Z,64592,369
traefik/traefik,2015-09-13T19:04:02Z,64497,577
warpdotdev/warp,2021-07-08T18:48:08Z,64351,61
ryanoasis/nerd-fonts,2014-12-05T04:31:17Z,64304,40
keras-team/keras,2015-03-28T00:35:42Z,64242,121
tw93/Mole,2025-09-23T06:38:40Z,64222,207
scrapy/scrapy,2010-02-22T02:01:14Z,63962,132
rust-lang/rustlings,2015-09-15T02:25:18Z,63906,53
mem0ai/mem0,2023-06-20T08:58:36Z,63607,384
FFmpeg/FFmpeg,2011-04-14T14:12:38Z,63450,432
commaai/openpilot,2016-11-24T01:33:30Z,63450,89
tldr-pages/tldr,2013-12-08T07:34:43Z,63425,11
ZhuLinsen/daily_stock_analysis,2026-01-10T06:43:20Z,63384,141
socketio/socket.io,2010-03-11T18:24:48Z,63191,219
asgeirtj/system_prompts_leaks,2025-05-03T02:43:56Z,63182,0
NanmiCoder/MediaCrawler,2023-06-09T12:14:34Z,63053,0
virattt/ai-hedge-fund,2024-11-29T16:30:01Z,62962,11
resume/resume.github.com,2011-02-06T13:39:55Z,62883,0
jgraph/drawio-desktop,2017-05-25T20:58:42Z,62689,243
git/git,2008-07-23T14:21:26Z,62662,1008
pathwaycom/pathway,2022-11-27T13:01:14Z,62423,90
usememos/memos,2021-12-08T15:30:18Z,62359,96
topjohnwu/Magisk,2016-09-08T12:42:53Z,62302,156
youngyangyang04/leetcode-master,2019-12-14T12:05:42Z,62216,0
karpathy/nanoGPT,2022-12-28T00:51:12Z,62210,0
withastro/astro,2021-03-15T17:19:47Z,61864,3348
PlexPt/awesome-chatgpt-prompts-zh,2022-12-12T01:55:03Z,61684,0
sansan0/TrendRadar,2025-04-28T11:42:16Z,61594,70
reduxjs/redux,2015-05-29T23:53:15Z,61508,88
FuelLabs/sway,2021-01-19T20:54:33Z,61498,194
minio/minio,2015-01-14T19:23:58Z,61387,523
2dust/v2rayNG,2019-05-15T02:15:31Z,61321,312
lodash/lodash,2012-04-07T04:11:46Z,61290,440
RVC-Boss/GPT-SoVITS,2024-01-14T18:05:21Z,61054,4
upstash/context7,2025-03-26T23:40:39Z,60976,106
Solido/awesome-flutter,2017-05-07T11:45:27Z,60949,0
tw93/Pake,2022-10-14T09:32:57Z,60889,120
h5bp/Front-end-Developer-Interview-Questions,2012-02-09T23:34:10Z,60872,0
ChrisTitusTech/winutil,2022-04-28T02:25:19Z,60862,63
1c7/chinese-independent-developer,2017-09-21T11:08:23Z,60858,0
xingshaocheng/architect-awesome,2018-04-06T13:30:58Z,60839,0
atom/atom,2012-01-20T18:18:21Z,60777,571
ultralytics/ultralytics,2022-09-11T16:39:45Z,60770,742
nuxt/nuxt,2016-10-26T11:18:47Z,60763,336
coollabsio/coolify,2021-01-25T20:54:01Z,60758,692
pocketbase/pocketbase,2022-07-05T06:06:21Z,60732,284
pbakaus/impeccable,2025-11-16T01:52:04Z,60618,45
microsoft/autogen,2023-08-18T11:43:45Z,60520,128
pi-hole/pi-hole,2014-06-08T15:02:55Z,60476,129
marktext/marktext,2017-11-12T16:05:25Z,60303,47
adam-p/markdown-here,2012-05-13T03:27:22Z,60250,55
sharkdp/bat,2018-04-21T10:52:23Z,60217,43
spring-projects/spring-framework,2010-12-08T04:04:45Z,60201,366
CorentinJ/Real-Time-Voice-Cloning,2019-05-26T08:56:15Z,60090,0
ghostty-org/ghostty,2022-03-29T17:38:26Z,59889,13
jquery/jquery,2009-04-03T15:20:14Z,59776,164
byoungd/up,2017-05-30T07:18:52Z,59739,0
shadowsocks/shadowsocks-windows,2013-01-14T07:54:16Z,59568,67
meta-llama/llama,2023-02-14T09:29:12Z,59566,1
starship/starship,2019-04-02T03:23:12Z,59487,153
FiloSottile/mkcert,2018-06-25T05:33:03Z,59468,14
termux/termux-app,2015-10-23T09:42:46Z,59450,95
rclone/rclone,2014-03-16T16:19:57Z,59262,140
meilisearch/meilisearch,2018-04-23T11:45:28Z,59015,655
pathwaycom/llm-app,2023-07-19T08:43:37Z,59008,0
