Repositorio,Criado Em,Estrelas,Linguagem Primaria,Linguagens
langchain-ai/langchain,2022-10-17T02:58:36Z,144571,Python,"Python, Makefile, Shell, XSLT, HTML"
x1xhlol/system-prompts-and-models-of-ai-tools,2025-03-05T16:38:29Z,142927,Sem linguagem,Sem linguagem
yangshun/tech-interview-handbook,2016-07-05T05:00:48Z,142001,TypeScript,"TypeScript, JavaScript, Python, CSS"
anthropics/claude-code,2025-02-22T17:41:21Z,141996,Python,"Python, Shell, TypeScript, PowerShell, Dockerfile"
vercel/next.js,2016-10-05T23:32:51Z,141868,JavaScript,"JavaScript, TypeScript, Rust, MDX, CSS"
ytdl-org/youtube-dl,2010-10-31T14:35:07Z,140975,Python,"Python, Shell, Makefile, ActionScript, Batchfile"
clash-verge-rev/clash-verge-rev,2023-11-21T18:24:03Z,138841,TypeScript,"TypeScript, Rust, JavaScript, NSIS, SCSS"
microsoft/PowerToys,2019-05-01T17:44:02Z,137883,C,"C, C#, C++, PowerShell, Python"
iptv-org/iptv,2018-11-14T22:00:57Z,136184,TypeScript,"TypeScript, JavaScript"
golang/go,2014-08-19T04:33:40Z,135905,Go,"Go, Assembly, HTML, C, Shell"
labuladong/fucking-algorithm,2020-02-19T09:01:23Z,135384,Markdown,Markdown
Shubhamsaboo/awesome-llm-apps,2024-04-29T05:30:25Z,133221,Python,"Python, TypeScript, JavaScript, HTML, CSS"
ripienaar/free-for-dev,2015-03-18T21:06:26Z,132200,HTML,HTML
github/spec-kit,2025-08-21T22:54:31Z,130287,Python,"Python, Shell, PowerShell"
excalidraw/excalidraw,2020-01-02T01:04:43Z,130020,TypeScript,"TypeScript, SCSS, MDX, JavaScript, HTML"
krahets/hello-algo,2022-11-04T11:08:34Z,129481,Java,"Java, Swift, C++, JavaScript, Go"
Chalarangelo/30-seconds-of-code,2017-11-29T17:35:03Z,128742,JavaScript,"JavaScript, SCSS, Astro, CSS, Shell"
garrytan/gstack,2026-03-11T21:22:45Z,128705,TypeScript,"TypeScript, Go Template, Shell, JavaScript, CSS"
Comfy-Org/ComfyUI,2023-01-17T03:15:56Z,128435,Python,"Python, GLSL, Batchfile, Mako"
farion1231/cc-switch,2025-08-04T14:16:16Z,128276,Rust,"Rust, TypeScript, HTML, JavaScript, CSS"
react/react-native,2015-01-09T18:10:16Z,126365,C++,"C++, Kotlin, JavaScript, Objective-C++, Objective-C"
ggml-org/llama.cpp,2023-03-10T18:58:00Z,124690,C++,"C++, C, Python, Cuda, TypeScript"
kubernetes/kubernetes,2014-06-06T22:56:04Z,124600,Go,"Go, Shell, PowerShell, Makefile, Dockerfile"
electron/electron,2013-04-12T01:47:36Z,122578,C++,"C++, TypeScript, Objective-C++, JavaScript, Python"
shadcn-ui/ui,2023-01-04T12:43:27Z,121648,TypeScript,"TypeScript, MDX, CSS, JavaScript, Astro"
rustdesk/rustdesk,2020-09-28T15:36:08Z,121252,Rust,"Rust, Dart, C++, Python, C"
nodejs/node,2014-11-26T19:57:11Z,119018,JavaScript,"JavaScript, C++, Python, C, HTML"
Hack-with-Github/Awesome-Hacking,2016-03-30T15:47:10Z,118623,Sem linguagem,Sem linguagem
justjavac/free-programming-books-zh_CN,2013-11-04T01:59:19Z,118400,Sem linguagem,Sem linguagem
nextlevelbuilder/ui-ux-pro-max-skill,2025-11-30T11:36:31Z,118172,Python,"Python, JavaScript, TypeScript, HTML, Shell"
microsoft/generative-ai-for-beginners,2023-06-19T16:28:59Z,118097,Jupyter Notebook,"Jupyter Notebook, Python, JavaScript, TypeScript, Shell"
godotengine/godot,2014-01-04T16:05:36Z,115872,C++,"C++, C#, Java, C, GLSL"
rust-lang/rust,2010-06-16T20:39:03Z,115610,Rust,"Rust, HTML, Shell, C, JavaScript"
mrdoob/three.js,2010-03-23T18:58:01Z,114613,JavaScript,"JavaScript, HTML, Roff, CSS"
2dust/v2rayN,2019-07-30T03:47:24Z,114221,C#,"C#, Shell"
d3/d3,2010-09-27T17:22:42Z,113496,Shell,"Shell, JavaScript"
immich-app/immich,2022-02-03T15:56:27Z,111692,TypeScript,"TypeScript, Dart, Svelte, Python, Kotlin"
jaywcjlove/awesome-mac,2016-07-17T15:33:47Z,111428,Swift,"Swift, Dockerfile"
tauri-apps/tauri,2019-07-13T09:09:37Z,110362,Rust,"Rust, TypeScript, NSIS, Kotlin, JavaScript"
microsoft/TypeScript,2014-06-17T15:28:39Z,110207,TypeScript,"TypeScript, JavaScript, Shell"
harry0703/MoneyPrinterTurbo,2024-03-11T02:57:34Z,110081,Python,"Python, CSS, Dockerfile, Shell, Batchfile"
browser-use/browser-use,2024-10-31T16:00:56Z,109752,Python,"Python, Shell, Dockerfile, HTML"
VoltAgent/awesome-design-md,2026-03-31T16:37:01Z,109264,Sem linguagem,Sem linguagem
axios/axios,2014-08-18T22:30:27Z,109199,JavaScript,"JavaScript, TypeScript, HTML"
fatedier/frp,2015-12-21T15:24:59Z,108881,Go,"Go, Vue, TypeScript, CSS, Shell"
papers-we-love/papers-we-love,2013-12-15T14:31:41Z,108843,Shell,Shell
denoland/deno,2018-05-15T01:34:26Z,108259,Rust,"Rust, TypeScript, JavaScript, C, HTML"
Graphify-Labs/graphify,2026-04-03T15:49:07Z,108233,Python,"Python, Dockerfile"
supabase/supabase,2019-10-12T05:56:49Z,108161,TypeScript,"TypeScript, MDX, JavaScript, CSS, Shell"
openai/whisper,2022-09-16T20:02:54Z,107617,Python,Python
openai/codex,2025-04-13T05:37:54Z,106826,Rust,"Rust, Python, Starlark, TypeScript, Shell"
google-gemini/gemini-cli,2025-04-17T17:04:31Z,106576,TypeScript,"TypeScript, JavaScript, Python, Shell, C#"
DietrichGebert/ponytail,2026-06-12T00:52:37Z,105822,JavaScript,"JavaScript, Python, PowerShell, Shell"
goldbergyoni/nodebestpractices,2017-09-15T08:33:19Z,105589,Dockerfile,"Dockerfile, TypeScript"
microsoft/terminal,2017-08-11T18:38:22Z,104633,C++,"C++, C#, C, PowerShell, Batchfile"
deepseek-ai/DeepSeek-V3,2024-12-26T09:52:40Z,104346,Python,Python
react/create-react-app,2016-07-17T14:55:11Z,103287,JavaScript,"JavaScript, Shell, CSS, HTML, AppleScript"
rasbt/LLMs-from-scratch,2023-07-23T18:15:57Z,103007,Jupyter Notebook,"Jupyter Notebook, Python, Dockerfile"
pytorch/pytorch,2016-08-13T05:26:41Z,102482,Python,"Python, C++, Cuda, C, Objective-C++"
Anduin2017/HowToCook,2020-02-29T10:43:49Z,101894,Sem linguagem,Sem linguagem
neovim/neovim,2014-01-31T13:39:22Z,101864,Vim Script,"Vim Script, Lua, C, CMake, Zig"
fastapi/fastapi,2018-12-08T08:21:47Z,101697,Python,"Python, JavaScript, Shell, HTML, CSS"
angular/angular,2014-09-18T16:12:01Z,101006,TypeScript,"TypeScript, JavaScript, HTML, Starlark, CSS"
ruanyf/weekly,2018-10-13T12:36:07Z,100780,Sem linguagem,Sem linguagem
mtdvio/every-programmer-should-know,2017-08-24T13:18:26Z,100263,Sem linguagem,Sem linguagem
JuliusBrussee/caveman,2026-04-04T10:03:00Z,99178,Go,"Go, JavaScript, TypeScript, Python, Shell"
ant-design/ant-design,2015-04-24T15:37:24Z,99117,TypeScript,"TypeScript, JavaScript, CSS, HTML, Shell"
TauricResearch/TradingAgents,2024-12-28T03:31:08Z,98922,Python,"Python, Dockerfile"
mui/material-ui,2014-08-18T19:11:54Z,98865,JavaScript,"JavaScript, TypeScript, CSS, HTML"
nvbn/thefuck,2015-04-08T15:08:04Z,97715,Python,"Python, Dockerfile, PowerShell, Shell, Batchfile"
tailwindlabs/tailwindcss,2017-10-06T14:59:14Z,97287,TypeScript,"TypeScript, Rust, JavaScript, CSS, HTML"
florinpop17/app-ideas,2019-02-25T18:36:56Z,96915,Sem linguagem,Sem linguagem
microsoft/Web-Dev-For-Beginners,2020-11-10T02:44:00Z,96379,JavaScript,"JavaScript, HTML, CSS, Vue, Python"
hacksider/Deep-Live-Cam,2023-09-24T13:19:31Z,96006,Python,"Python, Batchfile"
puppeteer/puppeteer,2017-05-09T22:16:13Z,95465,TypeScript,"TypeScript, JavaScript, HTML, CSS, Dockerfile"
oven-sh/bun,2021-04-14T00:48:17Z,95458,Rust,"Rust, C++, TypeScript, C, JavaScript"
ryanmcdermott/clean-code-javascript,2016-11-25T22:25:41Z,94758,JavaScript,JavaScript
microsoft/playwright,2019-11-15T18:32:42Z,94744,TypeScript,"TypeScript, HTML, CSS, C++, Objective-C"
nvm-sh/nvm,2010-04-15T17:47:47Z,94655,Shell,"Shell, Makefile, Dockerfile, JavaScript"
iluwatar/java-design-patterns,2014-08-09T16:45:18Z,94590,Java,"Java, HTML, CSS, PowerShell, Shell"
karpathy/autoresearch,2026-03-06T22:00:43Z,94153,Python,"Python, Jupyter Notebook"
earendil-works/pi,2025-08-09T14:03:50Z,93697,TypeScript,"TypeScript, JavaScript, Shell, CSS, C"
punkpeye/awesome-mcp-servers,2024-11-30T04:49:10Z,92567,Sem linguagem,Sem linguagem
deepseek-ai/DeepSeek-R1,2025-01-20T11:57:28Z,92035,Sem linguagem,Sem linguagem
3b1b/manim,2015-03-22T18:50:58Z,91712,Python,"Python, WGSL"
thedotmack/claude-mem,2025-08-31T20:50:03Z,91238,JavaScript,"JavaScript, TypeScript, Shell, HTML, Dockerfile"
ruvnet/RuView,2025-06-07T04:32:30Z,90921,Rust,"Rust, JavaScript, Python, TypeScript, C"
storybookjs/storybook,2016-03-18T04:23:44Z,90875,TypeScript,"TypeScript, JavaScript, MDX, Svelte, Vue"
opencv/opencv,2012-07-19T09:40:17Z,90500,C++,"C++, C, Python, CMake, Java"
louislam/uptime-kuma,2021-07-03T01:02:42Z,90349,JavaScript,"JavaScript, Vue, TypeScript, SCSS, Dockerfile"
PanJiaChen/vue-element-admin,2017-04-17T03:35:49Z,90206,Vue,"Vue, JavaScript, SCSS, CSS, Handlebars"
home-assistant/core,2013-09-17T07:29:48Z,89977,Python,"Python, Shell, Dockerfile, JavaScript, PLSQL"
bitcoin/bitcoin,2010-12-19T15:16:43Z,89944,C++,"C++, Python, C, CMake, Shell"
Stirling-Tools/Stirling-PDF,2023-01-27T18:22:42Z,89858,Java,"Java, TypeScript, Python, CSS, Shell"
mermaid-js/mermaid,2014-11-01T23:52:32Z,89845,TypeScript,"TypeScript, JavaScript, Mermaid, HTML, Yacc"
sherlock-project/sherlock,2018-12-24T14:30:48Z,89809,Python,"Python, Dockerfile, Shell"
modelcontextprotocol/servers,2024-11-19T01:10:17Z,89685,TypeScript,"TypeScript, Python, JavaScript, Dockerfile"
microsoft/ML-For-Beginners,2021-03-03T01:34:05Z,89531,Jupyter Notebook,"Jupyter Notebook, HTML, Python, Vue, JavaScript"
vllm-project/vllm,2023-02-09T11:23:20Z,89452,Python,"Python, Rust, Cuda, C++, Shell"
gohugoio/hugo,2013-07-04T15:26:26Z,89449,Go,"Go, C, JavaScript, HTML, Makefile"
nexu-io/open-design,2026-04-28T04:25:20Z,89257,TypeScript,"TypeScript, HTML, CSS, JavaScript, Astro"
gin-gonic/gin,2014-06-16T23:57:25Z,89084,Go,"Go, Makefile"
zed-industries/zed,2021-02-20T03:01:06Z,88885,Rust,"Rust, Python, Inno Setup, Tree-sitter Query, Shell"
astral-sh/uv,2023-10-02T20:24:11Z,88882,Rust,"Rust, Python, Shell, Batchfile, Dockerfile"
infiniflow/ragflow,2023-12-12T06:13:13Z,88828,Go,"Go, Python, TypeScript, C++, C"
localsend/localsend,2022-12-16T00:46:07Z,88727,Dart,"Dart, Rust, Inno Setup, Kotlin, C++"
ChatGPTNextWeb/NextChat,2023-03-10T18:27:54Z,88623,TypeScript,"TypeScript, SCSS, JavaScript, Rust, Shell"
addyosmani/agent-skills,2026-02-15T20:20:26Z,88550,JavaScript,"JavaScript, Shell, Python, HTML, TypeScript"
MunGell/awesome-for-beginners,2015-10-24T19:53:36Z,88521,Sem linguagem,Sem linguagem
django/django,2012-04-28T02:47:18Z,88474,Python,"Python, Jinja, JavaScript, CSS, Shell"
sveltejs/svelte,2016-11-20T18:13:05Z,87979,JavaScript,"JavaScript, Svelte, TypeScript, CSS, HTML"
PaddlePaddle/PaddleOCR,2020-05-08T10:38:16Z,87919,Python,"Python, C++, TypeScript, Shell, Swift"
syncthing/syncthing,2013-11-26T09:48:21Z,87791,Go,"Go, HTML, JavaScript, Shell, CSS"
ByteByteGoHq/system-design-101,2023-09-18T20:52:03Z,87326,Sem linguagem,Sem linguagem
odysseus-dev/odysseus,2026-05-31T14:05:51Z,85731,Python,"Python, JavaScript, CSS, HTML, Shell"
OpenCut-app/OpenCut,2025-06-22T08:02:17Z,85166,TypeScript,"TypeScript, Rust, CSS"
laravel/laravel,2011-06-08T03:06:08Z,84824,Blade,"Blade, PHP, JavaScript, CSS"
macrozheng/mall,2018-04-04T01:11:44Z,84574,Java,"Java, Shell, Dockerfile"
OpenHands/OpenHands,2024-03-13T03:33:31Z,84484,TypeScript,"TypeScript, JavaScript, Python, CSS, Shell"
bregman-arie/devops-exercises,2019-10-03T17:31:21Z,84154,Python,"Python, Shell, HCL, HTML, Groovy"
DopplerHQ/awesome-interview-questions,2015-11-28T09:48:17Z,84120,Sem linguagem,Sem linguagem
realworld-apps/realworld,2016-02-26T20:49:53Z,84108,TypeScript,"TypeScript, Bru, Hurl, CSS, JavaScript"
koala73/worldmonitor,2026-01-08T17:26:06Z,83162,TypeScript,"TypeScript, JavaScript, CSS, HTML, Shell"
Developer-Y/cs-video-courses,2016-10-21T17:02:11Z,83123,Sem linguagem,Sem linguagem
animate-css/animate.css,2011-10-12T10:07:38Z,82736,CSS,"CSS, HTML, JavaScript, Shell"
junegunn/fzf,2013-10-23T16:04:23Z,82582,Go,"Go, Ruby, Shell, Vim Script, Nushell"
fighting41love/funNLP,2018-08-21T11:20:39Z,82547,Python,Python
vitejs/vite,2020-04-21T05:03:57Z,82410,TypeScript,"TypeScript, JavaScript, HTML, CSS, Vue"
tonsky/FiraCode,2014-11-11T19:32:38Z,81933,Clojure,"Clojure, Shell, Python, HTML, CSS"
mlabonne/llm-course,2023-06-17T22:16:25Z,81830,Sem linguagem,Sem linguagem
lobehub/lobehub,2023-05-21T07:19:12Z,81824,TypeScript,"TypeScript, HTML, Shell, JavaScript, Gherkin"
jesseduffield/lazygit,2018-05-19T00:53:06Z,81467,Go,"Go, Shell, Nix, Just, Makefile"
spring-projects/spring-boot,2012-10-19T15:02:57Z,81324,Java,"Java, Kotlin, HTML, JavaScript, Groovy"
bytedance/deer-flow,2025-05-07T02:50:19Z,80319,Python,"Python, TypeScript, MDX, HTML, Shell"
TapXWorld/ChinaTextbook,2020-01-05T04:11:06Z,80278,Roff,Roff
netdata/netdata,2013-06-17T18:39:10Z,80229,Go,"Go, C, Rust, Python, Shell"
swisskyrepo/PayloadsAllTheThings,2016-10-18T07:29:07Z,80174,Python,"Python, ASP.NET, XSLT, Classic ASP, PHP"
hoppscotch/hoppscotch,2019-08-21T13:15:24Z,80057,TypeScript,"TypeScript, Vue, Rust, JavaScript, SCSS"
anuraghazra/github-readme-stats,2020-07-09T10:34:22Z,79830,JavaScript,"JavaScript, Shell"
Egonex-AI/Understand-Anything,2026-03-15T02:30:51Z,79812,TypeScript,"TypeScript, JavaScript, Python, Astro, CSS"
d2l-ai/d2l-zh,2017-08-23T04:40:24Z,79805,Python,"Python, HTML, TeX, Shell"
doocs/advanced-java,2018-10-06T11:38:30Z,79066,Java,Java
Z4nzu/hackingtool,2020-04-11T09:21:31Z,79031,Python,"Python, Dockerfile, Shell, Makefile"
coder/code-server,2019-02-27T16:50:41Z,78945,TypeScript,"TypeScript, Shell, HTML, CSS, HCL"
paperclipai/paperclip,2026-03-02T15:01:51Z,78868,TypeScript,"TypeScript, JavaScript, Shell, CSS, HTML"
ventoy/Ventoy,2020-03-10T15:19:19Z,78819,C,"C, Shell, HTML, C++, CSS"
unclecode/crawl4ai,2024-05-09T09:48:50Z,78694,Python,"Python, JavaScript, Shell, Dockerfile"
awesomedata/awesome-public-datasets,2014-11-20T06:20:50Z,78146,Sem linguagem,Sem linguagem
Leonxlnx/taste-skill,2026-02-19T21:44:05Z,78102,JavaScript,"JavaScript, Shell"
opendatalab/MinerU,2024-02-29T08:52:34Z,77988,Python,"Python, Dockerfile"
elastic/elasticsearch,2010-02-08T13:20:56Z,77843,Java,"Java, Groovy, StringTemplate, C++, TypeScript"
tensorflow/models,2016-02-05T01:15:20Z,77651,Python,"Python, Jupyter Notebook, C++, Shell, Starlark"
dair-ai/Prompt-Engineering-Guide,2022-12-16T16:04:50Z,77591,MDX,"MDX, Jupyter Notebook, TypeScript, HTML, JavaScript"
nomic-ai/gpt4all,2023-03-27T18:49:32Z,77403,C++,"C++, QML, Python, CMake, JavaScript"
FortAwesome/Font-Awesome,2012-02-17T14:19:43Z,76841,JavaScript,"JavaScript, SCSS, CSS"
MisterBooo/LeetCodeAnimation,2018-12-06T08:01:22Z,76694,Java,"Java, Python, C++"
rtk-ai/rtk,2026-01-22T16:54:16Z,76655,Rust,"Rust, Shell, TypeScript, Python, Ruby"
nestjs/nest,2017-02-04T20:12:52Z,76402,TypeScript,"TypeScript, JavaScript, Shell"
grafana/grafana,2013-12-11T15:59:56Z,76306,TypeScript,"TypeScript, Go, PLpgSQL, CUE, Rich Text Format"
sdmg15/Best-websites-a-programmer-should-visit,2017-03-05T20:25:17Z,76272,Sem linguagem,Sem linguagem
redis/redis,2009-03-21T22:32:25Z,76041,C,"C, Tcl, Python, Shell, Makefile"
tesseract-ocr/tesseract,2014-08-12T18:04:59Z,75989,C++,"C++, CMake, Java, Makefile, NSIS"
ocornut/imgui,2014-07-21T14:29:47Z,75732,C++,"C++, C, Objective-C++, Objective-C, Python"
AppFlowy-IO/AppFlowy,2021-06-16T12:56:48Z,75729,Dart,"Dart, Rust, C++, Shell, CMake"
typicode/json-server,2013-11-27T13:21:13Z,75690,JavaScript,"JavaScript, HTML"
openai/openai-cookbook,2022-03-11T02:08:53Z,75354,Jupyter Notebook,"Jupyter Notebook, MDX"
obsproject/obs-studio,2013-10-01T02:40:31Z,75209,C,"C, C++, CMake, Swift, Objective-C"
D4Vinci/Scrapling,2024-10-13T20:29:53Z,75178,Python,"Python, Dockerfile"
PKUFlyingPig/cs-self-learning,2021-10-20T13:43:42Z,75044,HTML,HTML
caddyserver/caddy,2015-01-13T19:45:03Z,75021,Go,"Go, HTML, Shell"
shareAI-lab/learn-claude-code,2025-06-29T15:34:15Z,74670,Python,"Python, TypeScript, CSS, JavaScript"
python/cpython,2017-02-10T19:23:51Z,74407,Python,"Python, C, M4, C++, HTML"
enaqx/awesome-react,2014-08-06T05:31:44Z,74335,Sem linguagem,Sem linguagem
apache/superset,2015-07-21T18:55:34Z,74311,Python,"Python, TypeScript, Jupyter Notebook, HTML, JavaScript"
abi/screenshot-to-code,2023-11-14T17:53:32Z,74232,Python,"Python, TypeScript, HTML, CSS, JavaScript"
hiyouga/LlamaFactory,2023-05-28T10:09:12Z,74230,Python,"Python, Dockerfile, Makefile"
josephmisiti/awesome-machine-learning,2014-07-15T19:11:19Z,74072,Python,Python
Eugeny/tabby,2016-12-23T09:06:10Z,74004,TypeScript,"TypeScript, Pug, SCSS, JavaScript, C++"
unionlabs/union,2023-05-16T22:33:39Z,73851,Rust,"Rust, TypeScript, Svelte, Move, Solidity"
twitter/the-algorithm,2023-03-27T14:57:57Z,73834,Scala,"Scala, Java, Starlark, Python, Thrift"
unslothai/unsloth,2023-11-29T16:50:09Z,73777,Python,"Python, TypeScript, PowerShell, Shell, Rust"
datawhalechina/hello-agents,2025-09-07T09:50:24Z,73774,Python,"Python, Jupyter Notebook, Vue, HTML, JavaScript"
thedaviddias/Front-End-Checklist,2017-10-16T10:12:36Z,73572,MDX,"MDX, TypeScript, JavaScript, CSS, Shell"
vuejs/awesome-vue,2015-10-20T00:16:14Z,73538,Sem linguagem,Sem linguagem
binhnguyennus/awesome-scalability,2017-12-27T03:46:40Z,73388,Sem linguagem,Sem linguagem
CompVis/stable-diffusion,2022-08-10T14:36:44Z,73307,Jupyter Notebook,"Jupyter Notebook, Python, Shell"
Panniantong/Agent-Reach,2026-02-24T02:10:24Z,73010,Python,"Python, Shell, HTML"
strapi/strapi,2015-09-30T15:34:48Z,72965,TypeScript,"TypeScript, JavaScript, Handlebars, Shell, MDX"
danielmiessler/SecLists,2012-02-19T01:30:18Z,72935,PHP,"PHP, Python, Classic ASP, Shell, Perl"
fffaraz/awesome-cpp,2014-07-17T08:51:11Z,72831,Sem linguagem,Sem linguagem
ComposioHQ/awesome-claude-skills,2025-10-17T07:15:01Z,72795,Python,"Python, JavaScript, Shell"
microsoft/ai-agents-for-beginners,2024-11-28T10:42:52Z,72698,Jupyter Notebook,"Jupyter Notebook, Python, C#, PowerShell, Dockerfile"
NationalSecurityAgency/ghidra,2019-03-01T03:27:48Z,72522,Java,"Java, C++, HTML, C, Python"
juliangarnier/anime,2016-03-13T21:37:45Z,72248,JavaScript,"JavaScript, HTML, CSS"
hakimel/reveal.js,2011-06-07T18:54:22Z,72152,JavaScript,"JavaScript, HTML, TypeScript, SCSS, CSS"
pallets/flask,2010-04-06T11:11:59Z,72136,Python,"Python, HTML, Shell, CSS"
chrislgarry/Apollo-11,2014-04-03T15:45:02Z,72116,Assembly,Assembly
OpenBB-finance/OpenBB,2020-12-20T10:46:38Z,72041,Python,Python
moby/moby,2013-01-18T18:10:57Z,71984,Go,"Go, Shell, Dockerfile, PowerShell, Lua"
daytonaio/daytona,2024-02-06T08:21:20Z,71963,Sem linguagem,Sem linguagem
